REGIAO:;CO
UF:;GO
ESTACAO:;CRISTALINA
CODIGO (WMO):;A036
LATITUDE:;-16,78499999
LONGITUDE:;-47,61305555
ALTITUDE:;1211,08
DATA DE FUNDACAO:;14/12/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;880,2;880,3;879,9;;22,1;18,2;22,1;21,4;19,3;18,1;86;78;79;30;2,9;1,4;
2024/01/01;0100 UTC;0;881,3;881,3;880,2;;22,5;17,7;22,5;21,5;18,1;17,6;79;74;74;308;2,8;1,6;
2024/01/01;0200 UTC;0;881,8;881,8;881,3;;22,5;18;22,6;21,9;18,4;17,5;80;73;76;329;2,8;,8;
2024/01/01;0300 UTC;0;881,5;881,8;881,5;;21;19,2;22,6;21;19,2;17,9;89;75;89;78;3,3;1,6;
2024/01/01;0400 UTC;4;881,3;881,5;881,2;;20,4;19,2;21;20,3;19,8;18,9;94;89;93;6;4,5;1,8;
2024/01/01;0500 UTC;5,6;880,8;881,6;880,8;;19;18;20,4;18,8;19,1;17,6;94;90;94;237;6,2;,8;
2024/01/01;0600 UTC;5;879,9;880,8;879,9;;18,8;17,9;19;18,7;18;17,8;94;94;94;214;2,8;1,1;
2024/01/01;0700 UTC;3,6;879,8;880;879,7;;18,6;17,6;18,8;18,4;17,8;17,5;94;94;94;26;2;,7;
2024/01/01;0800 UTC;,2;880,1;880,1;879,7;;19,1;18;19,1;18,6;18;17,6;94;93;94;9;1,9;1,1;
2024/01/01;0900 UTC;,2;880,4;880,4;880;3,5;18,9;17,5;19,4;18,9;18,2;17,5;94;91;92;306;5,2;2,1;
2024/01/01;1000 UTC;0;881,1;881,1;880,4;90,1;19,3;17,8;19,4;18,9;17,8;17,4;92;91;91;276;3,9;2,3;
2024/01/01;1100 UTC;,4;881,5;881,5;881,1;369,2;19,9;18,5;19,9;19,3;18,7;17,8;93;91;92;242;3,9;1,2;
2024/01/01;1200 UTC;0;882;882;881,5;652,4;21,1;19,3;21,1;19,9;19,4;18,4;92;90;90;241;3,1;1,6;
2024/01/01;1300 UTC;0;882,2;882,3;882;863,9;22;19,5;22;21;19,6;19,1;90;85;86;257;3,6;2;
2024/01/01;1400 UTC;,2;881,6;882,2;881,6;1048,5;22,4;19,3;22,4;21,3;20;18,9;88;83;83;264;4,1;1,9;
2024/01/01;1500 UTC;0;880,8;881,6;880,8;2599,1;24,5;17,9;25,2;22,4;20;17,9;84;65;67;277;4,3;1,6;
2024/01/01;1600 UTC;,2;880,2;880,8;880,2;2184,7;25,5;19,5;25,5;22,2;20,1;18,2;86;66;69;315;7,3;,9;
2024/01/01;1700 UTC;0;879,2;880,2;879,2;3381,9;25,2;18,9;26,7;25,1;20,1;17;71;56;68;239;5,9;3,3;
2024/01/01;1800 UTC;0;878;879,2;878;1528,2;25,1;17,6;25,4;24,2;19,5;17,3;74;62;63;230;5,4;2;
2024/01/01;1900 UTC;0;877,6;878;877,6;1707,8;25,3;18,2;25,9;25;18,3;17;65;59;65;200;4,8;2,3;
2024/01/01;2000 UTC;0;877,7;877,7;877,5;1203,9;25,4;19,5;25,7;25,1;19,5;17,8;70;63;69;188;4,2;2,2;
2024/01/01;2100 UTC;0;877,8;877,9;877,7;920,8;24,2;18,5;25,9;24,2;19,7;18;71;66;70;177;4,8;3;
2024/01/01;2200 UTC;0;878,5;878,7;877,8;115,1;22,3;18,7;24,2;22,3;19;18,4;80;70;80;106;4,2;,5;
2024/01/01;2300 UTC;0;879,3;879,3;878,5;;20,7;18,5;22,3;20,7;19,3;18,4;87;80;87;107;5,3;2,1;
2024/01/02;0000 UTC;0;880,3;880,3;879,1;;19,9;17,6;20,7;19,9;18,6;17,6;88;86;87;80;4,4;1;
2024/01/02;0100 UTC;0;880,6;880,6;880,3;;19,4;18;19,9;19,2;18,1;17,6;92;87;91;67;3,6;1,8;
2024/01/02;0200 UTC;0;881;881,1;880,6;;19,2;18,3;19,4;19,1;18,3;17,9;94;91;94;93;4,2;2,1;
2024/01/02;0300 UTC;1,2;880,5;881;880,5;;19;18,1;19,2;18,9;18,3;18;94;94;94;97;5,4;1,8;
2024/01/02;0400 UTC;0;879,8;880,5;879,8;;18,9;18;19;18,8;18,1;17,9;94;94;94;70;6,6;3,3;
2024/01/02;0500 UTC;,2;879,1;879,8;879,1;;18,8;17,9;19;18,8;18,1;17,9;94;94;94;64;6,4;3;
2024/01/02;0600 UTC;0;879,1;879,2;879,1;;19,1;18,2;19,1;18,7;18,2;17,7;95;94;94;38;7;4,2;
2024/01/02;0700 UTC;1,2;879;879,2;879;;19;17,9;19,1;18,5;18,2;17,4;94;93;94;34;9,1;4,4;
2024/01/02;0800 UTC;1;878,9;879;878,9;;18,8;17,8;19;18,7;18;17,7;94;93;94;36;8,4;4,3;
2024/01/02;0900 UTC;,2;879;879;878,8;2,8;18,3;17,2;18,8;18,3;17,8;17,2;94;93;93;35;8,5;4,1;
2024/01/02;1000 UTC;0;879,4;879,4;879;176,5;18,5;17,5;18,5;18,2;17,5;17,1;94;93;94;46;7,5;3,8;
2024/01/02;1100 UTC;0;879,5;879,5;879,4;710,4;19,7;18,1;19,7;18,5;18,1;17,4;94;90;91;39;7,5;3,8;
2024/01/02;1200 UTC;0;880;880;879,5;1490,5;21,6;18,7;21,8;19,6;19,1;17,8;91;82;84;43;6,6;3,3;
2024/01/02;1300 UTC;0;880,2;880,2;879,9;2473;21,3;18,3;22,6;21,3;19,3;18,2;85;78;83;41;6,6;3,3;
2024/01/02;1400 UTC;0;879,8;880,2;879,8;1605,6;22,7;19,3;22,7;21,2;19,5;18,1;87;79;81;28;5,5;2,3;
2024/01/02;1500 UTC;0;879,1;879,8;879,1;2817,9;24;18,5;24,7;22,3;20;18,3;83;71;71;26;4,9;2;
