REGIAO:;CO
UF:;MS
ESTACAO:;PONTA PORA
CODIGO (WMO):;A703
LATITUDE:;-22,5525
LONGITUDE:;-55,71638888
ALTITUDE:;668
DATA DE FUNDACAO:;07/09/01
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;936,7;936,7;935,6;0;25;18,2;25,5;25;18,9;17,9;68;65;66;64;4,4;1,5;
2024/01/01;0100 UTC;0;937,1;937,2;936,7;0;24,4;19,2;25;23,7;19,2;18,1;75;66;73;62;3,7;1,7;
2024/01/01;0200 UTC;0;937,5;937,5;937,1;0;23,4;19,6;24,4;23,4;19,7;19,2;79;73;79;53;4,1;2,4;
2024/01/01;0300 UTC;0;937,2;937,6;937,2;0;23,3;20,4;23,7;23,3;20,5;19,7;84;79;84;54;4;2;
2024/01/01;0400 UTC;0;937,1;937,4;937,1;0;22,6;20,6;23,3;22,4;20,6;20,3;89;84;88;46;4,1;2,5;
2024/01/01;0500 UTC;0;936,3;937,1;936,3;0;22,5;20,6;22,8;22,5;20,7;20,6;89;88;89;45;4,4;2,7;
2024/01/01;0600 UTC;0;935,8;936,3;935,8;0;22,6;19,8;22,7;22,3;20,6;19,8;89;84;84;34;6,5;3,7;
2024/01/01;0700 UTC;0;935,4;935,8;935,3;0;22,4;19,4;22,6;22,3;19,8;19,4;84;83;83;31;6,6;3,3;
2024/01/01;0800 UTC;0;935,3;935,4;935,2;0;21,8;19,4;22,5;21,8;19,4;19,1;86;83;86;43;6,1;2,6;
2024/01/01;0900 UTC;0;935,5;935,5;935,3;,2;21,4;19,4;21,7;21,4;19,5;19,3;88;86;88;42;4,3;2,9;
