REGIAO:;CO
UF:;MT
ESTACAO:;AGUA BOA
CODIGO (WMO):;A908
LATITUDE:;-14,01638888
LONGITUDE:;-52,21166666
ALTITUDE:;440
DATA DE FUNDACAO:;16/12/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;961,4;961,4;960,4;0;24,7;22,6;24,9;24,6;22,7;22,2;88;85;88;47;1,6;,9;
2024/01/01;0100 UTC;0;962,4;962,4;961,4;0;25,1;22,8;25,2;24,6;23;22,5;89;87;87;42;2;1,1;
2024/01/01;0200 UTC;0;962,9;962,9;962,4;0;24,9;22,5;25,2;24,9;22,9;22,4;88;86;86;26;2,8;1,6;
2024/01/01;0300 UTC;0;962,5;962,9;962,4;0;24,7;22,4;25;24,6;22,5;22,3;87;86;87;27;2,4;1,6;
2024/01/01;0400 UTC;0;961,8;962,5;961,8;0;24,5;21,8;24,9;24,5;22,4;21,8;87;85;85;20;3,4;2,1;
2024/01/01;0500 UTC;0;960,9;961,8;960,9;0;24,1;21,8;24,5;24,1;21,9;21,8;87;85;87;9;3,6;2,3;
2024/01/01;0600 UTC;0;960,7;960,9;960,7;0;24,2;22,1;24,3;24;22,2;21,8;89;87;88;351;3,7;2,1;
2024/01/01;0700 UTC;0;960,4;960,7;960,3;0;24,2;22;24,3;24,1;22,2;22;89;88;88;346;4;2;
2024/01/01;0800 UTC;0;960,5;960,6;960,3;0;24,1;22,3;24,2;23,9;22,3;22;90;88;90;338;3,2;1,7;
2024/01/01;0900 UTC;8,2;961,8;961,9;960,4;1,4;21,2;19,7;24,3;21,2;22,5;19,7;91;89;91;203;13,8;8,7;
2024/01/01;1000 UTC;54,6;962,2;962,3;961,5;2,9;21,3;20,6;22,4;20,2;21,7;19,5;96;91;96;263;13,8;4,8;
2024/01/01;1100 UTC;4,2;963,2;963,2;962,2;10,1;21,8;21,1;21,8;21,3;21,1;20,6;96;96;96;241;6,6;1,7;
2024/01/01;1200 UTC;3,6;963,2;963,3;963;51;21,9;21,2;21,9;21,7;21,2;21,1;96;96;96;114;2,8;0;
2024/01/01;1300 UTC;,4;963,5;963,5;963,2;281,4;22,8;22,1;22,8;21,9;22,1;21,3;96;96;96;178;3,7;2,3;
2024/01/01;1400 UTC;0;963,5;963,5;963,4;923,2;24,5;23,6;24,5;22,6;23,6;21,9;96;95;95;204;3,5;1;
2024/01/01;1500 UTC;0;962,9;963,5;962,9;1321,3;26;24,8;26,3;24,4;25,2;23,6;95;92;93;266;3,2;1,2;
2024/01/01;1600 UTC;0;961,9;962,9;961,9;1491,4;27;24,1;27;25,9;25,1;23,5;93;84;84;263;5,4;3,6;
2024/01/01;1700 UTC;0;960,8;961,9;960,8;1578,2;27;22,7;27,5;26,7;24;22,7;84;77;77;273;5,7;3,9;
2024/01/01;1800 UTC;0;959,4;960,8;959,4;1812,1;27,9;22;28,5;26,7;23,3;21,8;78;70;70;267;6,2;3,1;
2024/01/01;1900 UTC;0;958,2;959,4;958,2;1788,7;27,6;21,9;29,1;27,6;23,5;21,7;74;68;71;260;5,2;2,9;
2024/01/01;2000 UTC;0;958,2;958,2;958;1096,7;28,2;22,5;28,9;27,6;23,3;21,6;73;69;71;280;5,7;3,1;
