REGIAO:;CO
UF:;MT
ESTACAO:;SAPEZAL
CODIGO (WMO):;A911
LATITUDE:;-13,30388888
LONGITUDE:;-58,76333333
ALTITUDE:;105
DATA DE FUNDACAO:;20/10/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;949,2;949,2;948,7;0;23,5;22,3;24,1;23,5;22,6;22,3;93;91;93;295;2,8;2,2;
2024/01/01;0100 UTC;0;950;950;949,2;0;23,4;22,2;23,6;23,3;22,4;22,2;94;93;93;305;3,1;1,8;
2024/01/01;0200 UTC;0;951,1;951,1;950;0;22,8;22,1;23,4;22,8;22,3;22;95;93;95;324;3,2;1,9;
2024/01/01;0300 UTC;0;951,2;951,2;951,1;0;23,1;22,4;23,3;22,8;22,5;22,1;96;95;96;319;2,4;1,3;
2024/01/01;0400 UTC;0;950,8;951,3;950,8;0;23,3;22,8;23,3;23;22,8;22,4;97;96;97;266;3,3;2,5;
2024/01/01;0500 UTC;0;950;950,8;950;0;23,1;22,2;23,6;23,1;23;22,2;97;94;95;236;4,2;1,4;
2024/01/01;0600 UTC;0;949,5;950;949,5;0;23,1;22,4;23,1;22,9;22,4;22,2;96;95;96;260;3,2;1,9;
2024/01/01;0700 UTC;0;949,3;949,6;949,3;0;23;22,2;23,2;23;22,6;22,2;96;95;95;243;3,6;2,5;
2024/01/01;0800 UTC;0;949;949,3;949;0;22,8;22,3;23,2;22,8;22,3;22,2;97;95;97;265;5,1;2;
2024/01/01;0900 UTC;0;949,4;949,4;949;0;22,6;22,4;22,8;22,6;22,4;22,3;98;97;98;300;2,7;1,3;
2024/01/01;1000 UTC;0;950,2;950,2;949,4;20,5;22,6;22,3;22,7;22,5;22,4;22,2;98;98;98;16;2,3;1,4;
2024/01/01;1100 UTC;0;951;951;950,2;337,1;23,6;22,8;23,6;22,6;22,8;22,3;98;95;95;13;4,4;3;
2024/01/01;1200 UTC;0;951,7;951,7;951;740,3;24,2;22,9;24,4;23,6;23,2;22,5;96;92;92;350;4,5;2,7;
2024/01/01;1300 UTC;0;952,1;952,1;951,6;961,2;24,9;22,6;25,2;24,1;23,5;22,6;93;87;87;360;4,1;2,5;
2024/01/01;1400 UTC;4;952;952,2;952;1248,8;23,8;22,6;26,1;23,8;23,5;22,2;95;82;93;321;4,4;2,6;
2024/01/01;1500 UTC;5,6;951,9;952;951,8;520,7;22,7;22,5;24,5;22,2;23,4;21,9;99;92;99;298;8,8;4;
2024/01/01;1600 UTC;1,8;951,2;951,9;951,2;331,6;22,8;22,3;23;22,7;22,7;22,3;99;97;97;319;5,7;3,2;
2024/01/01;1700 UTC;,2;949,9;951,2;949,9;1615,3;24,8;23,6;25,3;22,7;24,2;22,2;98;92;93;292;7,7;4,7;
2024/01/01;1800 UTC;,6;948,6;949,9;948,6;1608,8;24,9;23;25,3;23,6;23,8;22,3;95;88;89;300;10,2;6,4;
2024/01/01;1900 UTC;0;947,8;948,6;947,8;1924,7;25,1;22,4;25,6;24,9;23,4;22,2;90;84;85;281;10,7;6,9;
2024/01/01;2000 UTC;0;947,6;947,9;947,6;1038,5;25;22,8;25,4;24,9;23,1;22,4;89;85;87;306;9,9;4,1;
2024/01/01;2100 UTC;0;947,5;947,7;947,4;891,6;25;22;25,3;24,4;23;22;91;83;83;275;6,9;3,8;
2024/01/01;2200 UTC;0;948,1;948,1;947,5;449,6;24,4;22,4;25,2;24,3;22,7;22;89;83;89;267;6,6;3,1;
2024/01/01;2300 UTC;0;948,5;948,5;948;23,2;23,4;22,3;24,4;23,4;22,4;22;94;89;94;261;4,4;2,5;
2024/01/02;0000 UTC;0;949,4;949,4;948,5;0;22,9;22,3;23,6;22,9;22,4;22,3;97;93;97;330;3,2;1,9;
2024/01/02;0100 UTC;0;950;950;949,4;0;22,5;22,2;22,9;22,5;22,3;22,2;98;97;98;340;2,4;1,8;
