REGIAO:;CO
UF:;MT
ESTACAO:;SALTO DO CEU
CODIGO (WMO):;A936
LATITUDE:;-15,12472221
LONGITUDE:;-58,12722221
ALTITUDE:;300,83
DATA DE FUNDACAO:;24/01/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;976,4;976,4;975,1;;24,8;23,4;24,9;24,7;23,9;23,2;94;91;92;358;3,1;0;
2024/01/01;0100 UTC;;977,1;977,2;976,4;;24,2;22,9;25;24;23,5;22,4;93;87;92;326;6;,3;
2024/01/01;0200 UTC;;977,7;977,7;977,1;;24,4;23,2;24,4;24,1;23,2;22,8;93;92;93;337;3,3;,4;
2024/01/01;0300 UTC;;978,1;978,2;977,7;;24,6;23,2;24,6;24,3;23,5;23,2;94;92;92;342;3,9;1;
2024/01/01;0400 UTC;;977,6;978,1;977,6;0;24,2;22,9;24,6;24,2;23,2;22,9;93;92;93;350;3,6;,9;
2024/01/01;0500 UTC;;976,9;977,6;976,8;1,1;23,9;22,3;24,2;23,9;22,9;22,2;93;90;91;341;4,5;1;
2024/01/01;0600 UTC;;976,3;976,9;976,3;2,9;24;22,2;24;23,8;22,4;22,1;92;89;90;350;3,5;,9;
2024/01/01;0700 UTC;;975,7;976,3;975,7;,7;23,9;22;24;23,8;22,2;22;90;89;89;349;3;1,2;
2024/01/01;0800 UTC;;975,4;975,7;975,4;,4;24;22,1;24,1;23,9;22,1;22;90;88;89;351;4,6;1,5;
2024/01/01;0900 UTC;;975,7;975,7;975,4;;23,7;22,2;24;23,7;22,2;22;91;89;91;340;4,4;,7;
2024/01/01;1000 UTC;;976,9;976,9;975,7;49;23,9;22,5;23,9;23,7;22,5;22,2;93;91;92;335;3,1;,3;
2024/01/01;1100 UTC;;977,7;977,7;976,9;344,2;25,4;22,9;25,4;23,9;23,1;22,5;92;86;86;2;3,6;1,4;
2024/01/01;1200 UTC;;978,1;978,1;977,7;694,7;26,5;23,3;26,5;25,4;23,3;22,9;87;82;83;8;4,6;1;
2024/01/01;1300 UTC;;978,7;978,7;978,1;1054,3;27,6;23;27,7;26,5;23,7;23;83;76;76;360;3,1;,9;
2024/01/01;1400 UTC;;978,4;978,7;978,4;1704,3;28,7;23;28,9;27,6;24;22,6;79;70;71;330;3,9;1,4;
2024/01/01;1500 UTC;;977,3;978,4;977,3;2503,7;30,8;23,5;30,8;28,7;23,9;22,5;72;62;65;332;5,9;1,9;
2024/01/01;1600 UTC;;975,9;977,3;975,9;3036,7;32;22,6;32,7;30,3;24,1;21,9;66;56;58;318;6,1;1,6;
2024/01/01;1700 UTC;;974,9;975,9;974,9;3433;33;23,2;33;31,2;23,6;20,8;61;53;57;318;7,1;1,3;
2024/01/01;1800 UTC;;974,4;975,1;974,4;1680,5;30;22;33,1;28,7;24,2;21,5;75;55;62;349;9,1;2;
2024/01/01;1900 UTC;;974,2;974,4;974;1308,3;27,6;22,1;30,4;27,6;23,1;21,4;72;61;72;341;8,6;1,7;
2024/01/01;2000 UTC;;973,4;974,2;973,4;619,4;27,6;22,9;27,8;27,1;23,4;22,1;79;72;76;109;5,7;0;
2024/01/01;2100 UTC;;974,1;974,1;973,4;396,9;26,5;22,9;28,1;26,4;23,4;22,4;81;72;81;154;3,9;,4;
2024/01/01;2200 UTC;;974,1;974,2;974,1;133,8;25,6;22,5;26,7;25,6;23,5;22,3;85;81;83;341;4,4;1;
2024/01/01;2300 UTC;;974,9;974,9;974,1;18,8;25,7;23;25,7;25,2;23,1;22,4;87;83;85;343;3,7;1,2;
2024/01/02;0000 UTC;;975,3;975,3;974,9;;25,1;23,3;25,7;25,1;23,4;23;90;85;90;343;3,2;1,5;
2024/01/02;0100 UTC;;976,2;976,2;975,3;;25,7;22,9;25,8;25;23,4;22,9;91;84;84;349;3,7;1,1;
2024/01/02;0200 UTC;;976,5;976,5;976,2;;25,5;22,7;25,9;25,5;23;22,7;85;83;84;358;4,3;1,7;
2024/01/02;0300 UTC;;976,6;976,9;976,5;;24,5;22,7;25,5;24,5;22,8;22,6;90;84;90;343;4,4;1,1;
2024/01/02;0400 UTC;;976,1;976,6;976,1;;24,6;22,3;24,6;24,4;22,7;22,3;90;87;87;348;4,4;1,6;
2024/01/02;0500 UTC;;975,4;976,1;975,3;;24,8;21,8;24,9;24,6;22,3;21,7;87;83;83;13;6,3;2,4;
2024/01/02;0600 UTC;;974,7;975,4;974,7;;24,9;21,3;24,9;24,8;21,8;21,3;84;81;81;13;7;2,4;
2024/01/02;0700 UTC;;974,9;974,9;974,7;;24,9;21,1;25;24,8;21,4;21,1;81;79;80;2;7;2,2;
2024/01/02;0800 UTC;;974,8;974,9;974,6;;24,8;21;24,9;24,7;21,2;20,9;80;79;79;4;6,5;2;
2024/01/02;0900 UTC;;975,1;975,1;974,8;;25;21,1;25;24,7;21,1;20,9;80;78;79;12;6,3;1,8;
2024/01/02;1000 UTC;;975,7;975,8;975,1;30,4;24,9;21,4;25;24,8;21,5;21;81;79;81;359;5,6;1,3;
2024/01/02;1100 UTC;;976,3;976,3;975,7;203,1;25,2;21,6;25,2;24,9;21,7;21,3;81;79;80;353;5,9;1,1;
2024/01/02;1200 UTC;;976,9;976,9;976,3;501,5;26,1;22,3;26,1;25,2;22,3;21,6;81;78;80;7;4,2;,7;
2024/01/02;1300 UTC;;977,2;977,2;976,8;942,2;27,7;23,2;27,7;26,1;23,2;22,1;80;75;77;358;4,5;1,3;
2024/01/02;1400 UTC;;977,2;977,3;977,1;1567,4;28,6;22,5;29;27,7;23,3;22,4;77;69;69;345;4,9;1,8;
2024/01/02;1500 UTC;;976,7;977,3;976,7;1017,6;29,5;23,4;29,5;28,6;23,4;22,4;72;68;70;313;4,9;,5;
2024/01/02;1600 UTC;;975,6;976,7;975,6;2302,4;30,9;22,9;31,7;29,5;23,9;22,1;70;59;63;338;4,6;1,6;
2024/01/02;1700 UTC;;974,1;975,6;974,1;2763,7;32,2;23,1;32,6;30,8;23,9;22;64;55;59;294;5;1,2;
2024/01/02;1800 UTC;;973,2;974,1;973,2;2618,9;32,4;22,5;33,4;32,2;23,6;22,3;59;54;56;269;5,6;1,2;
2024/01/02;1900 UTC;;972,2;973,2;972,2;1654,2;31,9;22,6;32,6;31,5;23,9;21,6;62;55;58;265;5,1;1,7;
2024/01/02;2000 UTC;;972,1;972,2;971,8;1368,8;31,4;22;32,8;31,4;22,8;21,5;59;53;57;223;5,4;2,1;
2024/01/02;2100 UTC;;971,6;972,1;971,5;713,7;30,6;22,7;31,6;30,5;22,8;21,7;64;56;63;148;4,2;,5;
2024/01/02;2200 UTC;;972,4;972,4;971,5;297,5;28,4;24,5;30,6;28,4;24,7;22,3;79;62;79;32;2,5;0;
2024/01/02;2300 UTC;;973,2;973,4;972,4;6,7;26,9;24,6;28,5;26,9;25,2;24,5;87;79;87;356;1,3;,1;
2024/01/03;0000 UTC;;974;974;973,2;;26,3;24;27;26,3;24,6;23,9;87;84;87;354;2,1;0;
2024/01/03;0100 UTC;;974,5;974,5;974;;26,1;23,3;26,8;25,9;24,2;23,3;89;83;85;342;5,6;1,2;
2024/01/03;0200 UTC;;975,2;975,2;974,5;;25,4;23,3;26,1;25,4;23,3;23;88;85;88;343;4,4;0;
2024/01/03;0300 UTC;;974,7;975,2;974,7;;25,4;23;25,5;25,1;23,2;22,9;88;86;87;340;2,5;,4;
2024/01/03;0400 UTC;;974,7;974,8;974,5;;24,5;22,7;25,5;24,5;23;22,7;90;86;90;347;2,9;1,2;
2024/01/03;0500 UTC;;973,9;974,7;973,9;;24,5;22,6;24,7;24,3;22,8;22,4;90;88;89;347;3,9;,9;
