REGIAO:;NE
UF:;AL
ESTACAO:;PAO DE ACUCAR
CODIGO (WMO):;A323
LATITUDE:;-9,74916666
LONGITUDE:;-37,43083332
ALTITUDE:;20,83
DATA DE FUNDACAO:;14/07/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;1010,2;1010,2;1009,4;;28,7;;29,4;28,7;;;;;;121;6,6;3,4;
2024/01/01;0100 UTC;0;1010,6;1010,6;1010,2;;27,9;;28,7;27,9;;;;;;132;6,3;1,2;
2024/01/01;0200 UTC;0;1010,9;1011;1010,6;;27,5;;27,9;27,5;;;;;;113;4,4;1;
2024/01/01;0300 UTC;0;1010;1010,9;1010;;27;;27,5;27;;;;;;135;3,8;,7;
2024/01/01;0400 UTC;0;1010,1;1010,2;1010;;26,7;;27;26,6;;;;;;131;3,3;,6;
2024/01/01;0500 UTC;0;1009,8;1010,2;1009,8;;26,6;;26,8;26,6;;;;;;137;2,9;,6;
2024/01/01;0600 UTC;0;1009,6;1009,8;1009,4;;26,3;;26,6;26,3;;;;;;146;2,9;,2;
2024/01/01;0700 UTC;0;1009,7;1009,7;1009,6;;26;;26,3;26;;;;;;113;2,2;,1;
2024/01/01;0800 UTC;0;1010,2;1010,2;1009,7;;25,8;;26;25,8;;;;;;138;3;,1;
2024/01/01;0900 UTC;0;1010,6;1010,6;1010,2;233,5;27,2;;27,2;25,7;;;;;;152;1,7;0;
2024/01/01;1000 UTC;0;1010,7;1010,8;1010,5;977,4;27,8;;27,8;27;;;;;;146;3,4;1,6;
2024/01/01;1100 UTC;0;1011;1011;1010,7;1614;29,5;;30;27,8;;;;;;180;3,4;,6;
2024/01/01;1200 UTC;0;1010,6;1011;1010,6;2110,6;32,1;;32,6;29,3;;;;;;145;4,6;1,7;
2024/01/01;1300 UTC;0;1009,9;1010,6;1009,9;3266;34,1;;34,1;32;;;;;;158;4,6;1,5;
2024/01/01;1400 UTC;0;1009,4;1009,9;1009,4;3636,2;34,5;;35,4;34;;;;;;146;4,8;2;
2024/01/01;1500 UTC;0;1008,2;1009,4;1008,2;3765,4;36,9;;36,9;34,5;;;;;;180;4,1;,2;
2024/01/01;1600 UTC;0;1007;1008,2;1007;3384,9;37,2;;37,6;35,6;;;;;;138;5,2;1,3;
2024/01/01;1700 UTC;0;1005,6;1007;1005,6;3145,6;37,6;;38,5;36,6;;;;;;126;8,2;4,3;
2024/01/01;1800 UTC;0;1004,9;1005,6;1004,9;2089;37,8;;38;36,7;;;;;;117;8,2;4;
2024/01/01;1900 UTC;0;1004,9;1005;1004,6;1536,1;36,9;;37,9;36,9;;;;;;132;7,8;3;
2024/01/01;2000 UTC;0;1005,7;1005,7;1004,9;794,2;34,2;;37,1;34,2;;;;;;119;11,5;6,5;
2024/01/01;2100 UTC;0;1007,1;1007,1;1005,7;93,6;31,4;;34,2;31,4;;;;;;129;11,5;5,7;
2024/01/01;2200 UTC;0;1008,6;1008,6;1007,1;;30,5;;31,4;30,4;;;;;;118;11,5;3,3;
2024/01/01;2300 UTC;0;1009,6;1009,6;1008,6;;29,7;;30,5;29,7;;;;;;109;10,1;4,1;
2024/01/02;0000 UTC;0;1009,9;1009,9;1009,6;;28,7;;29,7;28,7;;;;;;107;7,6;2,1;
2024/01/02;0100 UTC;0;1010,2;1010,3;1009,9;;28,1;;28,7;28,1;;;;;;128;5,5;2,6;
2024/01/02;0200 UTC;0;1009,6;1010,3;1009,5;;27,6;;28,1;27,5;;;;;;125;4,6;2;
2024/01/02;0300 UTC;0;1009,6;1009,7;1009,5;;26,9;;27,6;26,9;;;;;;146;4,4;,3;
2024/01/02;0400 UTC;0;1009,1;1009,6;1009,1;;26,5;;26,9;26,5;;;;;;132;2,7;,5;
2024/01/02;0500 UTC;0;1008,8;1009,2;1008,8;;26;;26,5;26;;;;;;122;3,1;,1;
2024/01/02;0600 UTC;0;1008,9;1009;1008,8;;25,3;;26;25,3;;;;;;76;2,6;0;
2024/01/02;0700 UTC;0;1009,5;1009,5;1008,9;;25;;25,3;24,9;;;;;;96;1,2;0;
2024/01/02;0800 UTC;0;1009,9;1009,9;1009,5;;24,7;;25,1;24,6;;;;;;105;0;0;
2024/01/02;0900 UTC;0;1010,4;1010,4;1009,9;232,2;26;;26;24,7;;;;;;99;,4;0;
2024/01/02;1000 UTC;0;1010,6;1010,6;1010,3;799,9;26,7;;26,8;26,1;;;;;;149;2;,3;
2024/01/02;1100 UTC;0;1010,5;1010,7;1010,5;1266,7;29,6;;29,6;26,6;;;;;;175;2,3;,4;
2024/01/02;1200 UTC;0;1010,1;1010,5;1010,1;2139,2;31,1;;31,4;29,4;;;;;;171;3,2;,8;
2024/01/02;1300 UTC;0;1009,6;1010,1;1009,6;2654,9;33,4;;34,4;30,8;;;;;;179;3,4;1,1;
2024/01/02;1400 UTC;0;1008,8;1009,6;1008,8;3796,2;34,9;;35,5;33,3;;;;;;162;3,7;1,3;
2024/01/02;1500 UTC;0;1007,9;1008,8;1007,9;3928,2;36,6;;37,8;34,9;;;;;;256;3,7;1,4;
2024/01/02;1600 UTC;0;1006,7;1007,9;1006,7;3680,3;38,1;;38,1;36,2;;;;;;206;4,2;,4;
2024/01/02;1700 UTC;0;1005,5;1006,7;1005,5;3265,4;38;;39,3;37,2;;;;;;137;4,4;1,3;
2024/01/02;1800 UTC;0;1004,7;1005,5;1004,7;2691,1;38,8;;39,7;37,9;;;;;;157;3,9;,9;
2024/01/02;1900 UTC;0;1004,2;1004,7;1004,2;1428;38,2;;39;37,9;;;;;;140;4,3;1,1;
2024/01/02;2000 UTC;0;1005;1005;1004,2;812;35,2;;38,3;35,2;;;;;;120;11;6,1;
2024/01/02;2100 UTC;0;1006,4;1006,4;1005;79,5;32,1;;35,2;32,1;;;;;;127;12,4;5,4;
2024/01/02;2200 UTC;0;1007,7;1007,7;1006,4;;30,6;;32,1;30,6;;;;;;125;11,4;4,9;
2024/01/02;2300 UTC;0;1009;1009;1007,7;;29,8;;30,6;29,8;;;;;;104;8,7;4;
2024/01/03;0000 UTC;0;1009,7;1009,7;1009;;28,7;;29,8;28,7;;;;;;118;8,5;4,1;
2024/01/03;0100 UTC;0;1010;1010;1009,6;;28,5;;28,7;28,5;;;;;;117;7,6;3;
2024/01/03;0200 UTC;0;1009,4;1010;1009,4;;28,4;;28,5;28,4;;;;;;115;6,9;2,1;
2024/01/03;0300 UTC;0;1008,9;1009,5;1008,8;;28,1;;28,4;28,1;;;;;;122;4,9;2,2;
2024/01/03;0400 UTC;0;1008,5;1008,9;1008,5;;27,9;;28,1;27,9;;;;;;119;5;1,3;
2024/01/03;0500 UTC;0;1008,5;1008,6;1008,5;;27,7;;27,9;27,7;;;;;;127;4,3;1,3;
2024/01/03;0600 UTC;0;1008,7;1008,7;1008,4;;27,4;;27,7;27,4;;;;;;124;3,4;1,1;
2024/01/03;0700 UTC;0;1009,2;1009,2;1008,7;;27,3;;27,5;27,3;;;;;;119;3,3;1,1;
2024/01/03;0800 UTC;0;1010;1010;1009,2;;27;;27,3;27;;;;;;139;3;,2;
2024/01/03;0900 UTC;0;1010,6;1010,6;1010;206;27,8;;27,9;27;;;;;;126;2,9;,8;
2024/01/03;1000 UTC;0;1010,9;1010,9;1010,6;775;28,8;;28,9;27,8;;;;;;139;4,1;2,4;
2024/01/03;1100 UTC;0;1011,2;1011,2;1010,9;1524,4;30,7;;30,9;28,7;;;;;;149;4,1;1,7;
2024/01/03;1200 UTC;0;1011;1011,3;1011;2002;33,8;;33,8;30,7;;;;;;157;3,8;,4;
2024/01/03;1300 UTC;0;1010,5;1011;1010,5;1651,8;34,2;;34,7;32,4;;;;;;305;4,8;0;
2024/01/03;1400 UTC;0;1009,7;1010,5;1009,7;2614,5;36;;36,7;34,2;;;;;;337;14,2;,7;
2024/01/03;1500 UTC;0;1008,6;1009,7;1008,6;3002,8;37,4;;37,4;35,1;;;;;;166;3,4;1,4;
2024/01/03;1600 UTC;0;1007,4;1008,6;1007,4;2674,7;37,8;;38;36,3;;;;;;153;3,9;1,3;
2024/01/03;1700 UTC;0;1005,9;1007,4;1005,9;3127;39,6;;39,6;37,7;;;;;;154;4,1;1,6;
2024/01/03;1800 UTC;0;1005,9;1006,1;1005,5;2530,7;31,4;;39,7;31,4;;;;;;97;12,6;6,4;
2024/01/03;1900 UTC;0;1006,1;1006,2;1005,9;1282,6;33,6;;33,6;31,4;;;;;;126;12,6;3,1;
2024/01/03;2000 UTC;0;1006,8;1006,8;1006,1;275,8;32,3;;33,9;32,3;;;;;;124;9,1;4,7;
2024/01/03;2100 UTC;0;1007,3;1007,3;1006,7;26,5;31,4;;32,4;31,4;;;;;;122;10,1;3,3;
2024/01/03;2200 UTC;0;1008,6;1008,6;1007,3;;31,1;;31,5;31,1;;;;;;114;7;2,9;
