REGIAO:;NE
UF:;BA
ESTACAO:;BRUMADO
CODIGO (WMO):;A433
LATITUDE:;-14,18194443
LONGITUDE:;-41,67222221
ALTITUDE:;473,37
DATA DE FUNDACAO:;28/04/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;958,6;958,6;957,5;;25,7;22,8;26,2;24,9;23,4;21,4;89;75;84;30;3,7;,1;
2024/01/01;0100 UTC;0;959,1;959,1;958,6;;25,9;22,6;27,5;25,7;22,8;20,9;84;66;82;36;2,1;,1;
2024/01/01;0200 UTC;0;959,7;959,7;959,1;;25,7;22,4;25,9;25,2;23;22,2;86;81;82;27;2,1;,8;
2024/01/01;0300 UTC;0;959,3;959,7;959,3;;26,9;20,8;26,9;25,6;22,7;20,5;83;68;69;66;2,2;,4;
2024/01/01;0400 UTC;0;959,2;959,3;959,1;;26,5;20,3;26,9;25,9;21,2;20,3;74;67;69;54;3,7;1;
2024/01/01;0500 UTC;0;959,3;959,3;959;;26,1;19,7;26,5;25,8;20,6;19,7;73;67;68;49;3,9;1,5;
2024/01/01;0600 UTC;0;959,4;959,4;959,2;;25,2;19,6;26,2;25,2;19,8;19,1;72;66;71;266;4;0;
2024/01/01;0700 UTC;0;959,4;959,4;959,2;;24,8;20,3;25,3;24,8;20,4;18,8;76;68;76;293;2,2;0;
2024/01/01;0800 UTC;0;959,6;959,6;959,3;;24,6;19,9;24,9;24,3;21;19,1;82;70;75;98;,7;0;
2024/01/01;0900 UTC;0;960,1;960,1;959,6;17;24,6;20,5;25;24,4;20,6;18,9;79;69;78;4;1,2;0;
2024/01/01;1000 UTC;0;960,5;960,5;960,1;279,3;25,8;18,4;25,8;24,5;20,8;18,2;80;63;64;138;3,4;1,5;
2024/01/01;1100 UTC;0;961,1;961,1;960,5;622,6;26,1;18,2;26,2;25,8;18,6;17,8;65;60;62;84;3,8;1,8;
2024/01/01;1200 UTC;0;961,4;961,4;961,1;914,5;27,5;18,2;27,5;26,1;18,8;17,7;63;57;57;185;3,6;,5;
2024/01/01;1300 UTC;0;960,6;961,4;960,6;2268,2;29,2;18,3;29,4;27,2;18,9;17,7;59;51;52;154;5,8;1,8;
2024/01/01;1400 UTC;0;959,6;960,6;959,6;3504,8;31,6;18,6;31,6;29,2;19,4;17,2;54;44;46;41;5,8;2,5;
2024/01/01;1500 UTC;0;958,6;959,6;958,6;2356,7;31,3;17;32;30,8;18,7;16,6;47;41;42;59;6;1,6;
2024/01/01;1600 UTC;0;957,1;958,6;957,1;3276,9;33,6;17,3;34,4;31,3;18,7;15,8;44;35;38;193;5,9;1,3;
2024/01/01;1700 UTC;0;955,8;957,1;955,8;2912,6;33,2;15,8;35,2;33,2;17,7;15,6;39;33;35;135;6,6;2,2;
2024/01/01;1800 UTC;0;955,2;955,8;955,2;1546,1;34,3;16,2;34,7;33;17,5;15,2;39;33;34;119;6,9;1,5;
2024/01/01;1900 UTC;,2;955,8;955,9;955;265,8;26,1;20,5;34,3;26,1;20,8;15,9;71;33;71;307;13;7;
2024/01/01;2000 UTC;2;955,9;956;955,8;79,5;24,8;20;26,1;24,4;20,9;20;79;71;75;298;13;4,9;
2024/01/01;2100 UTC;,2;956;956,2;955,8;38,5;24,8;22,1;25,8;24,6;22,1;19,6;85;69;85;29;8,3;3;
2024/01/01;2200 UTC;0;957,1;957,1;956;3,9;24,5;22,1;24,8;24,5;22,3;22,1;87;85;87;7;6;1,9;
2024/01/01;2300 UTC;0;957,9;957,9;957,1;;24,8;22;24,8;24,4;22,3;21,9;88;84;84;152;3,4;,8;
