REGIAO:;NE
UF:;CE
ESTACAO:;JAGUARIBE
CODIGO (WMO):;A358
LATITUDE:;-5,90555555
LONGITUDE:;-38,62777777
ALTITUDE:;149,31
DATA DE FUNDACAO:;10/09/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;993,6;993,7;992,7;;29,5;20,4;30,8;29,5;20,7;20,1;58;54;58;23;7,5;2,2;
2024/01/01;0100 UTC;;994,8;994,8;993,6;;28,8;21,2;29,5;28,8;21,2;20,4;64;58;64;26;7,1;1,6;
2024/01/01;0200 UTC;;995;995;994,8;;27;23;28,8;27;23,2;21;80;63;79;22;6,1;1,1;
2024/01/01;0300 UTC;;995;995,2;995;;25,5;;27,1;25,4;;;;;;342;5,3;1,6;
2024/01/01;0400 UTC;;994,6;995;994,5;;24,9;;25,5;24,9;;;;;;343;4,5;1,3;
2024/01/01;0500 UTC;;994,2;994,6;994,2;;24,9;;25;24,7;;;;;;297;3,9;,8;
2024/01/01;0600 UTC;;994;994,2;994;;24,1;;25;24;;;;;;314;6,8;2;
2024/01/01;0700 UTC;;994,5;994,5;994;;24;;24,1;23,9;;;;;;332;4,9;1;
2024/01/01;0800 UTC;;995;995;994,5;;23,2;;24,1;23,2;;;;;;33;4,4;1,1;
2024/01/01;0900 UTC;;995,1;995,5;995;;23,6;;23,6;22,9;;;;;;80;5,1;2,7;
2024/01/01;1000 UTC;;994,4;995,1;994,4;59,2;23,5;;23,7;23,4;;;;;;98;4,2;1,8;
2024/01/01;1100 UTC;;995,6;995,6;994,4;201,2;24,1;;24,1;23,4;;;;;;191;3,9;1,7;
2024/01/01;1200 UTC;;995,8;995,8;995,6;559;25,1;;25,1;24,1;;;;;;246;3,7;1,5;
2024/01/01;1300 UTC;;996,7;996,7;995,7;848,5;25,8;;25,8;25,1;;;;;;314;3,8;,9;
2024/01/01;1400 UTC;;996,5;996,9;996,5;1000,7;27,1;24,3;27,1;25,8;;;;;85;1;4,3;1,6;
2024/01/01;1500 UTC;;995,9;996,6;995,9;1629,8;28,1;22,4;28,8;27,1;24,4;21,7;85;67;71;12;4,3;1,3;
2024/01/01;1600 UTC;;994,8;995,9;994,8;1558,8;30;21,1;30,2;28,1;22,7;20,5;71;57;59;48;3,5;1,2;
2024/01/01;1700 UTC;;993,3;994,8;993,3;2425,4;31,1;20;31,8;30;21,3;18,7;59;49;52;319;4;1,7;
2024/01/01;1800 UTC;;992,4;993,3;992,4;2009,6;30,5;19,8;31,4;29,8;21,1;19,2;57;50;53;304;4;1,5;
2024/01/01;1900 UTC;;992,1;992,4;992,1;938,8;30,3;19,7;30,9;30,1;21,1;19,5;58;51;53;321;3,7;,6;
2024/01/01;2000 UTC;;991,9;992,1;991,8;522,9;29,5;20,5;30,5;29,5;21;19,1;59;51;59;352;2,7;,9;
2024/01/01;2100 UTC;;992,4;992,4;991,9;88,6;28,1;21;29,5;28,1;21,3;20,5;65;58;65;60;2,5;1,1;
2024/01/01;2200 UTC;;992,9;992,9;992,4;;27,4;22;28,1;27,4;22,2;20,9;73;65;72;16;2,9;,6;
2024/01/01;2300 UTC;;993,9;993,9;992,9;;26,9;22;27,4;26,9;22,6;21,6;76;72;75;26;3;,9;
2024/01/02;0000 UTC;;994,3;994,3;993,9;;26,1;23;26,9;26,1;23,1;22,1;84;75;83;29;3,8;1,2;
2024/01/02;0100 UTC;;994,8;994,9;994,3;;25,7;23,7;26,1;25,7;23,7;23;89;83;89;12;3,5;,7;
2024/01/02;0200 UTC;;994,6;994,8;994,5;;25,3;23;25,7;25,3;23,9;23;90;87;87;14;3,1;1,1;
2024/01/02;0300 UTC;;994,1;994,6;994,1;;24,8;23,3;25,3;24,8;25;22,6;100;86;91;36;3,7;1,4;
2024/01/02;0400 UTC;;993,6;994,1;993,6;;24,6;;24,8;24,6;;;;;;52;4,4;2;
2024/01/02;0500 UTC;;993,1;993,6;993,1;;24,3;;24,6;24,3;;;;;;9;3,2;,5;
2024/01/02;0600 UTC;;993,1;993,2;993;;24,1;;24,3;24,1;;;;;;25;2,3;,5;
2024/01/02;0700 UTC;;;;;;;;;;;;;;;;;;
2024/01/02;0800 UTC;;993,8;993,8;993,2;;23,8;;23,9;23,8;;;;;;296;1,6;1,1;
2024/01/02;0900 UTC;;994,4;994,4;993,8;39,6;24,1;;24,1;23,8;;;;;;294;1,9;1,1;
2024/01/02;1000 UTC;;995,3;995,3;994,4;421,8;26,2;;26,2;24,1;;;;;;3;3,1;,9;
2024/01/02;1100 UTC;;995,4;995,4;995,3;1203,8;28,8;22,7;28,8;26,2;24,3;22,6;87;70;70;44;4,3;1,5;
2024/01/02;1200 UTC;;995,4;995,5;995,3;2412,3;30,8;20,9;31,8;28,5;23;20,9;70;55;56;29;4,9;1,4;
2024/01/02;1300 UTC;;995,1;995,4;995;2778,6;32,6;21;33,7;30,6;22,3;20,2;59;48;50;39;6,3;1,5;
2024/01/02;1400 UTC;;994,8;995,1;994,8;1017,5;30;21,9;32,5;29,7;22,1;20,3;63;50;62;7;5;1,3;
2024/01/02;1500 UTC;;994;994,9;994;1886,5;32,3;24;32,4;26,8;26,8;22;90;62;62;345;5,7;1;
2024/01/02;1600 UTC;;993,2;994;993,2;2563,1;31,8;21,5;32,9;31,5;24,7;21,5;65;54;55;56;6,1;1,7;
2024/01/02;1700 UTC;;991,7;993,2;991,7;1612,7;33,1;20,3;33,1;31,8;22,1;19,2;56;44;47;24;4,4;1;
2024/01/02;1800 UTC;;990,7;991,8;990,7;2130,2;34,8;20,6;34,8;32,5;21,9;19,5;49;42;44;29;5,6;1,5;
2024/01/02;1900 UTC;;990,3;990,7;990,2;1756,2;32,9;20;35,3;32,9;21,1;19,3;47;40;47;54;7;3,8;
