REGIAO:;NE
UF:;PI
ESTACAO:;OEIRAS
CODIGO (WMO):;A354
LATITUDE:;-6,97416666
LONGITUDE:;-42,14694444
ALTITUDE:;154,03
DATA DE FUNDACAO:;22/07/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;995,5;995,5;994,9;0;25,1;24,8;25,5;25,1;25;24,3;98;93;98;270;1,5;,8;
2024/01/01;0100 UTC;0;995,9;996,1;995,5;0;24,9;24,6;25,2;24,9;24,9;24,6;98;98;98;261;1,4;,7;
2024/01/01;0200 UTC;0;996,3;996,3;995,8;0;24,9;24,7;25,1;24,9;24,8;24,6;99;98;99;4;2,1;,7;
2024/01/01;0300 UTC;0;995,5;996,3;995,5;0;24,6;24,4;24,9;24,5;24,7;24,3;99;99;99;233;1,2;,4;
2024/01/01;0400 UTC;0;994,6;995,5;994,6;0;24,3;24,1;24,6;24,3;24,4;24;99;99;99;320;1,6;,4;
2024/01/01;0500 UTC;0;994,3;994,6;994,2;0;24,4;24,1;24,4;24,2;24,2;24;99;98;98;291;1;,5;
2024/01/01;0600 UTC;0;994,3;994,3;994,2;0;24,2;24;24,4;24,2;24,2;24;99;98;98;345;1,1;,6;
2024/01/01;0700 UTC;0;994,5;994,5;994,3;0;24,4;24,1;24,4;24,2;24,1;23,9;99;98;98;300;2,1;,7;
2024/01/01;0800 UTC;0;994,8;994,9;994,5;0;24,2;24;24,4;24,2;24,2;24;99;98;99;331;2,2;,7;
2024/01/01;0900 UTC;0;995,1;995,1;994,7;13,4;24;23,1;24,2;23,9;24;23;99;94;95;313;2,2;,5;
2024/01/01;1000 UTC;0;995,2;995,2;995,1;345,6;25,1;22,7;25,1;24;23,6;22,7;96;87;87;354;1,9;1;
2024/01/01;1100 UTC;0;995,4;995,5;995,2;1190,5;26,4;21,6;26,5;25,1;22,7;21,3;87;73;75;20;3,7;1,9;
2024/01/01;1200 UTC;0;995,8;995,9;995,4;2035,6;28,1;22,4;28,1;26,4;22,5;21;76;68;71;20;4,2;,9;
2024/01/01;1300 UTC;0;996,1;996,1;995,8;2436,5;28,6;21,7;29,3;28;22,6;21,1;71;63;66;245;4,5;,7;
2024/01/01;1400 UTC;0;995,8;996,1;995,8;2874,8;30,4;21,4;30,9;28,4;23,2;21,1;69;58;59;107;3,9;1,4;
2024/01/01;1500 UTC;0;994,8;995,8;994,8;3275,5;31,8;23;31,8;30;23;20;63;52;59;257;3,7;1,3;
2024/01/01;1600 UTC;0;993,6;994,8;993,6;3589,3;32,2;19,9;33,2;31,1;23,2;19,8;60;48;48;354;4;,9;
2024/01/01;1700 UTC;0;991,8;993,6;991,8;2255,1;32;20,1;32,8;31,8;22,2;19,8;55;46;50;282;4,2;1,9;
2024/01/01;1800 UTC;0;990,9;991,8;990,9;2612,9;33,9;21,5;33,9;32;22,3;19,8;55;45;48;316;5,1;1,4;
2024/01/01;1900 UTC;0;990,1;990,9;990,1;1981,5;33,9;20,2;34;32,9;21,1;19;50;43;45;265;4,3;1,9;
2024/01/01;2000 UTC;0;990,5;990,5;990,1;1088,3;32,1;20,7;33,9;32,1;21,8;19,2;51;43;51;295;3,9;1,5;
2024/01/01;2100 UTC;0;992,2;992,2;990,5;130,1;27,1;20,4;32,1;27,1;21,6;20,3;67;50;67;31;8,2;4,2;
