REGIAO:;NE
UF:;PI
ESTACAO:;GILBUES
CODIGO (WMO):;A364
LATITUDE:;-9,87527777
LONGITUDE:;-45,34583333
ALTITUDE:;425,1
DATA DE FUNDACAO:;16/05/09
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;965,4;965,4;964,6;0;22,9;21;23,1;22,5;21,2;20,7;90;89;89;299;3,6;1;
2024/01/01;0100 UTC;0;965,3;965,5;965,2;0;22,6;21;22,9;22,6;21,1;21;91;89;91;31;2,7;,6;
2024/01/01;0200 UTC;0;965,7;965,7;965,3;0;22,8;21,2;22,8;22,6;21,2;21;91;91;91;31;2,6;,6;
2024/01/01;0300 UTC;0;965,1;965,7;965,1;0;22,6;21,1;22,8;22,5;21,2;21;91;91;91;28;1,7;,9;
2024/01/01;0400 UTC;0;964,4;965,1;964,4;0;22,4;21,1;22,6;22,4;21,1;21;92;91;92;119;3,1;1,3;
2024/01/01;0500 UTC;0;964;964,4;964;0;22,3;21;22,5;22,3;21,1;20,9;92;92;92;279;3,1;,5;
2024/01/01;0600 UTC;0;963,8;964,2;963,8;0;22,3;21;22,4;22,3;21,1;21;92;92;92;266;1,9;,8;
2024/01/01;0700 UTC;0;963,2;963,8;963,2;0;22,3;21;22,5;22,3;21,2;21;93;92;93;297;1,6;,3;
2024/01/01;0800 UTC;0;963,4;963,4;963,1;0;22,3;21,1;22,3;22,2;21,1;21;93;93;93;267;1,6;,8;
2024/01/01;0900 UTC;0;963,8;963,8;963,4;5,1;22,4;21,2;22,4;22,2;21,2;21;93;93;93;274;4;1,6;
