REGIAO:;N
UF:;TO
ESTACAO:;DIANOPOLIS
CODIGO (WMO):;A038
LATITUDE:;-11,59444444
LONGITUDE:;-46,84722221
ALTITUDE:;727,87
DATA DE FUNDACAO:;30/08/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0200 UTC;;932,6;932,6;932,4;;23,4;21,2;23,4;23;21,2;20,6;89;85;87;10;0;0;
2024/01/01;0300 UTC;;932,5;932,8;932,5;;22,3;21,4;23,6;22,3;21,4;20,9;94;86;94;10;7,8;4,5;
2024/01/01;0400 UTC;;931,5;932,5;931,5;;22;21,2;22,3;22;21,6;21,2;97;94;96;36;8,1;0;
2024/01/01;0500 UTC;;931;931,5;931;;21,9;21,1;22;21,8;21,3;21,1;97;95;95;359;0;0;
2024/01/01;0600 UTC;;930,7;931;930,6;;23;20,6;23,1;21,9;21,3;20,6;95;86;87;289;0;0;
2024/01/01;0700 UTC;;930,4;930,7;930,4;;21,7;21;23;21,6;21;20,6;96;87;96;16;0;0;
2024/01/01;0800 UTC;;930,7;930,7;930,3;;21,5;20,8;21,8;21,4;21;20,8;97;94;96;11;3,4;,1;
2024/01/01;0900 UTC;;931;931;930,7;4,8;21,1;21;21,5;21,1;21;20,7;99;96;99;2;4,7;0;
2024/01/01;1000 UTC;;931,5;931,5;931;399,1;21,7;21,1;21,9;21;21,4;20,9;100;96;96;10;6;0;
2024/01/01;1100 UTC;;932,1;932,1;931,5;1312,7;23,8;21,1;24,3;21,6;21,8;20,9;96;84;85;357;5,6;,4;
2024/01/01;1200 UTC;;932,7;932,7;932,1;2117,9;25,6;21,7;25,9;23,8;22;21,1;85;77;79;337;5,7;,5;
