REGIAO:;SE
UF:;MG
ESTACAO:;JANUARIA
CODIGO (WMO):;A559
LATITUDE:;-15,44805555
LONGITUDE:;-44,36638888
ALTITUDE:;468
DATA DE FUNDACAO:;23/06/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0100 UTC;0;958,2;958,3;957,8;;23,6;23,6;23,7;23,4;23,7;23,4;100;100;100;221;1,5;,5;
2024/01/01;0200 UTC;0;958,7;958,7;958,2;;23,9;23,8;24;23,5;23,9;23,5;100;98;100;297;2,1;1,3;
2024/01/01;0300 UTC;0;958,1;958,7;958,1;;24,3;24;24,4;23,9;24,1;23,7;100;97;98;295;2,2;1,2;
2024/01/01;0400 UTC;0;957,6;958,1;957,6;;24;24;24,4;24;24,4;24;100;98;100;145;2;,4;
2024/01/01;0500 UTC;0;957,1;957,6;957,1;;24,3;24,3;24,4;24;24,3;24;100;98;100;174;2,3;1;
2024/01/01;0600 UTC;0;956,8;957,1;956,8;;24,1;24;24,3;24;24,3;24;100;100;100;279;1,7;,7;
2024/01/01;0700 UTC;0;956,6;956,8;956,5;;23,9;23,9;24,1;23,8;24;23,8;100;100;100;256;1,6;1;
2024/01/01;0800 UTC;0;956,9;956,9;956,5;;23,5;23,5;23,9;23,5;23,9;23,5;100;100;100;56;2,3;,5;
2024/01/01;0900 UTC;0;957,9;957,9;956,8;20,9;24;24;24;23,2;24;23,1;100;100;100;7;4,2;2,5;
2024/01/01;1000 UTC;8,6;958,6;958,6;957,9;77,1;21,7;21,7;24,2;21,2;24,1;21,2;100;89;100;352;9;2,4;
2024/01/01;1100 UTC;1;958,6;958,7;958,5;430,7;22,7;22,7;22,7;21,7;22,7;21,7;100;100;100;58;3,8;1,2;
2024/01/01;1200 UTC;0;958,8;958,8;958,6;1509,3;25,3;23,3;25,6;22,7;24,3;22,6;100;87;89;289;2,3;1,2;
2024/01/01;1300 UTC;0;959;959,1;958,8;979,3;25,8;24,3;25,9;25,2;24,8;22,9;94;87;91;36;2,6;1,6;
2024/01/01;1400 UTC;0;958,4;959;958,4;1747;27,3;24,5;27,4;25,8;25;23,8;93;83;85;44;3,5;1,8;
2024/01/01;1500 UTC;0;957,1;958,4;957,1;3342,9;29,4;23,5;29,4;27,3;25,2;23,2;87;69;71;40;6,4;3,1;
2024/01/01;1600 UTC;0;955,6;957,1;955,6;3763,7;30,4;22,9;30,6;29,3;24,8;22,1;75;62;64;73;6,4;2,7;
2024/01/01;1700 UTC;0;955,2;955,7;955,2;2790,3;31,4;21,3;31,4;30,2;23,7;20,6;67;54;55;87;5,9;1,8;
2024/01/01;1800 UTC;0;955;955,5;955;1050;25;23,9;31,6;25;24,2;21,1;95;53;94;289;7,6;4,4;
2024/01/01;1900 UTC;2;955,7;955,7;955,1;401,7;24,8;24,7;25;23,9;24,7;23,6;100;93;100;318;7,1;1,2;
2024/01/01;2000 UTC;,2;956;956,1;955,7;350,6;24;24;24,9;24;24,8;23,9;100;95;100;113;3,5;1,8;
2024/01/01;2100 UTC;0;955,7;956;955,7;195,6;23,5;23,5;24,1;23,5;24,1;23,5;100;100;100;52;4,4;2,2;
2024/01/01;2200 UTC;0;956,1;956,1;955,6;32,7;23,1;23,1;23,5;23,1;23,5;23,1;100;100;100;68;4;1,9;
2024/01/01;2300 UTC;0;956,7;956,7;955,9;;23;23;23,2;23;23,1;23;100;100;100;124;3,6;1,1;
2024/01/02;0000 UTC;;;;;;;;;;;;;;;;;;
2024/01/02;0100 UTC;;;;;;;;;;;;;;;;;;
2024/01/02;0200 UTC;;;;;;;;;;;;;;;;;;
2024/01/02;0300 UTC;0;957,6;957,9;957,6;;22,8;22,8;23,1;22,8;23,1;22,8;100;100;100;11;3,9;1,3;
2024/01/02;0400 UTC;0;956,7;957,6;956,7;;22,8;22,8;22,9;22,8;22,9;22,7;100;100;100;255;2,2;,8;
2024/01/02;0500 UTC;0;956,2;956,7;956,2;;22,4;22,4;22,8;22,4;22,8;22,4;100;100;100;78;2,1;,3;
2024/01/02;0600 UTC;0;956,3;956,4;956,2;;22,4;22,4;22,4;22,3;22,4;22,3;100;100;100;332;1;,6;
2024/01/02;0700 UTC;,2;956,3;956,3;956,2;;22,6;22,5;22,7;22,4;22,7;22,4;100;100;100;214;1,2;,8;
2024/01/02;0800 UTC;,2;956,8;956,8;956,3;;22,7;22,7;22,8;22,5;22,7;22,4;100;100;100;261;1,7;,8;
2024/01/02;0900 UTC;,4;957,4;957,4;956,8;8,3;22,8;22,8;22,8;22,7;22,8;22,7;100;100;100;263;2;,8;
2024/01/02;1000 UTC;0;957,6;957,6;957,4;118;23,4;23,4;23,4;22,8;23,4;22,8;100;100;100;311;1,4;,5;
2024/01/02;1100 UTC;0;958,2;958,2;957,6;391,9;23,9;23,9;24,1;23,4;24;23,4;100;98;100;52;1,7;1,1;
2024/01/02;1200 UTC;0;958,3;958,3;958,2;1040,9;25,4;24,1;25,9;23,8;25,6;23,8;100;92;93;71;3,7;2,1;
2024/01/02;1300 UTC;0;958,2;958,3;958,2;1638,9;25,7;24,2;26;25;25,1;23,8;96;90;92;80;5;3,4;
2024/01/02;1400 UTC;0;957,5;958,2;957,5;1915,3;26,4;24,9;26,8;25;26,2;23,8;98;89;91;94;6,4;3,3;
2024/01/02;1500 UTC;0;956,4;957,5;956,4;2530,6;27,9;24,7;28,3;26,5;25,4;23,9;92;81;82;82;6,7;4,2;
2024/01/02;1600 UTC;,8;955,4;956,4;955,4;2662;27,8;26;28,5;25,5;26,7;24,3;100;79;90;76;9,1;3,7;
2024/01/02;1700 UTC;0;954,6;955,4;954,6;1125,4;27,9;24,4;28;27,3;25,8;24,4;91;80;81;66;6,7;3,6;
2024/01/02;1800 UTC;0;954;954,6;954;764,5;28;24,4;28,3;27,9;25,2;24,1;86;78;81;66;5,8;2,4;
2024/01/02;1900 UTC;0;954,4;954,4;954;246,3;25,8;23,5;28;25,8;25,3;23,5;89;81;87;41;6;3,3;
2024/01/02;2000 UTC;2,6;954,7;955;954,4;14,7;23,3;23,3;25,8;23,2;24,2;23,1;100;86;100;56;6,5;1;
2024/01/02;2100 UTC;,2;955,3;955,3;954,7;20,2;22,8;22,8;23,4;22,8;23,4;22,8;100;100;100;53;5,7;3,2;
2024/01/02;2200 UTC;1,2;955,7;955,7;955,3;6,8;22,8;22,8;22,8;22,7;22,8;22,7;100;100;100;70;4,9;2,1;
2024/01/02;2300 UTC;;;;;;;;;;;;;;;;;;
2024/01/03;0000 UTC;;;;;;;;;;;;;;;;;;
2024/01/03;0100 UTC;,2;957,3;957,3;956,9;;23;23;23,2;23;23,2;23;100;100;100;64;4;2,5;
2024/01/03;0200 UTC;0;957,2;957,4;957,2;;22,6;22,6;23;22,6;23;22,6;100;100;100;86;3,6;,8;
2024/01/03;0300 UTC;0;957;957,2;957;;22,6;22,6;22,7;22,6;22,7;22,6;100;100;100;47;1,9;1,1;
2024/01/03;0400 UTC;0;956,4;957;956,4;;22,7;22,7;22,7;22,5;22,7;22,5;100;100;100;277;1,6;,6;
2024/01/03;0500 UTC;0;956,6;956,6;956,4;;22,7;22,7;22,8;22,6;22,7;22,6;100;100;100;257;1,4;,5;
2024/01/03;0600 UTC;0;956,3;956,6;956,3;;22,9;22,9;23;22,7;22,9;22,7;100;100;100;226;1,3;,5;
2024/01/03;0700 UTC;2,4;956,2;956,3;956,1;;23,1;23,1;23,1;22,9;23,1;22,9;100;100;100;29;1,9;,8;
2024/01/03;0800 UTC;2,6;956,7;956,7;956,1;;22,7;22,7;23,2;22,7;23,2;22,7;100;100;100;4;5,4;2,4;
