REGIAO:;SE
UF:;MG
ESTACAO:;ARACUAI
CODIGO (WMO):;A566
LATITUDE:;-16,84888888
LONGITUDE:;-42,03527777
ALTITUDE:;308
DATA DE FUNDACAO:;19/05/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;976,6;976,6;976;;26,5;20;27,2;26,3;20,7;19,7;70;64;67;119;2,7;,1;
2024/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0200 UTC;0;977,5;977,5;977,2;;24,2;20,2;24,8;24;20,7;20,2;80;76;79;288;1,2;0;
2024/01/01;0300 UTC;0;977,7;977,7;977,5;;23,7;20,6;24,2;23,5;20,7;20;83;78;83;127;1,1;0;
2024/01/01;0400 UTC;0;977,3;977,7;977,3;;23,7;20,7;23,9;23,5;20,7;20,4;83;82;83;188;,8;0;
2024/01/01;0500 UTC;0;977;977,4;977;;24,1;20,7;24,3;23,6;21;20,6;83;81;81;137;1,2;0;
2024/01/01;0600 UTC;0;976,7;977;976,7;;24,5;20,9;24,5;24,1;21,1;20,7;82;81;81;160;1,1;0;
2024/01/01;0700 UTC;0;976,4;976,7;976,4;;24,5;21;24,6;24,3;21,1;20,8;82;80;81;246;1,6;0;
2024/01/01;0800 UTC;0;976,8;976,8;976,4;;24,6;21,2;24,7;24,5;21,3;21;82;80;82;118;0;0;
2024/01/01;0900 UTC;0;977,3;977,3;976,8;34,2;24,9;20,5;24,9;24,5;21,3;20,3;82;76;77;96;1,8;0;
2024/01/01;1000 UTC;0;978;978;977,3;439,8;26;18,9;26,2;24,9;20,5;18,8;77;64;65;62;3,6;1,5;
2024/01/01;1100 UTC;0;978,5;978,5;978;1889,3;27,9;18;28,6;26;20;18;67;55;55;37;6,9;3,4;
2024/01/01;1200 UTC;0;978,8;978,9;978,5;1757,2;28,3;18,3;28,3;27,4;19;17,5;58;54;55;64;7;3,1;
2024/01/01;1300 UTC;0;978,2;978,8;978,2;1740,3;28,4;17,8;28,5;28;18,4;16,9;55;50;53;48;7,5;3,4;
2024/01/01;1400 UTC;0;977,6;978,2;977,6;2283,8;29,7;18,3;29,9;28,2;19;17,5;54;48;50;6;5,9;2;
2024/01/01;1500 UTC;0;976,8;977,6;976,8;3917,1;31,2;18,5;31,7;29,7;19,5;17,4;52;45;47;28;6,5;2,1;
2024/01/01;1600 UTC;0;975,4;976,8;975,4;3804,3;31,6;17,8;32,4;30,5;19,6;17,6;49;43;44;40;7,5;3;
2024/01/01;1700 UTC;0;974,1;975,4;974,1;3467,7;32,4;17,4;33;31,6;19;17;45;39;41;33;7,8;3,3;
2024/01/01;1800 UTC;0;973;974,1;973;2511,7;32,7;16,8;33,4;32,1;18,3;16,8;43;37;39;1;6,1;1,1;
2024/01/01;1900 UTC;0;972,9;973;972,8;1648;32,3;17,5;33,1;32,3;18,4;16,5;43;38;42;11;5,5;2,1;
2024/01/01;2000 UTC;0;973,2;973,2;972,8;535,4;31,5;18,4;32,3;31,5;19,1;17,5;47;41;46;2;4,5;,5;
2024/01/01;2100 UTC;0;973,8;973,8;973,2;176,4;30,3;19,1;31,5;30,2;19,7;18,1;53;45;51;177;4,5;1,8;
2024/01/01;2200 UTC;0;974,8;974,8;973,8;1,9;25,2;20,1;30,3;25,2;20,1;19,1;73;51;73;101;7;4;
2024/01/01;2300 UTC;11,6;976,9;976,9;974,8;;24,7;20,4;25,3;23,5;20,8;20;81;73;77;343;7;2,8;
2024/01/02;0000 UTC;;;;;;;;;;;;;;;;;;
2024/01/02;0100 UTC;1;978,1;978,1;977,4;;23;20,5;23;22,8;20,5;20,3;86;86;86;84;2,4;,3;
2024/01/02;0200 UTC;0;978;978,2;978;;23,4;20,9;23,5;23;20,9;20,5;86;86;86;240;2,8;0;
2024/01/02;0300 UTC;0;977,4;978;977,4;;23,1;20,5;23,4;23,1;20,9;20,4;86;85;85;62;2,1;,1;
2024/01/02;0400 UTC;,2;977;977,4;977;;23,3;20,6;23,3;23,1;20,7;20,4;85;85;85;311;1,3;0;
2024/01/02;0500 UTC;0;976,5;977;976,5;;23,2;20,6;23,3;23,1;20,6;20,4;85;84;85;282;1,2;0;
2024/01/02;0600 UTC;0;975,9;976,5;975,9;;23,1;20,4;23,3;23,1;20,6;20,4;85;85;85;227;0;0;
2024/01/02;0700 UTC;0;976,2;976,2;975,8;;23,2;20,6;23,2;23,1;20,6;20,4;85;85;85;53;1,8;,2;
2024/01/02;0800 UTC;0;976,4;976,4;976,1;;23,1;20,3;23,2;23,1;20,6;20,3;85;84;84;55;3,8;1,5;
2024/01/02;0900 UTC;0;976,9;976,9;976,4;88,2;23,1;20,3;23,1;22,8;20,3;20;85;84;84;70;3,8;,5;
2024/01/02;1000 UTC;0;977,3;977,3;976,9;315,6;23,6;20,4;23,6;23,1;20,5;20,2;84;82;82;33;3,1;,7;
2024/01/02;1100 UTC;0;977,8;977,8;977,3;836,4;24,8;20,2;25,1;23,6;20,8;20,2;83;75;75;29;3,2;1,2;
2024/01/02;1200 UTC;0;977,7;977,9;977,7;1391,2;25,3;20,7;26,2;24,5;21,5;19,8;78;71;76;47;3,1;1,3;
2024/01/02;1300 UTC;0;977,6;977,8;977,6;1707,1;26,9;20,5;27,4;25,1;21,5;20,1;76;67;68;44;4,7;2,2;
2024/01/02;1400 UTC;0;976,7;977,6;976,7;3014,9;28,7;21,1;28,7;26,9;21,5;19,9;70;61;63;31;6,2;2,6;
2024/01/02;1500 UTC;0;975,8;976,7;975,8;3425;30;20,1;30,3;28,4;21,3;19,4;65;55;55;38;7,1;3;
2024/01/02;1600 UTC;0;974,6;975,8;974,6;3973,8;30,6;20,7;30,9;29,8;21,2;19,6;58;52;56;43;8;3;
2024/01/02;1700 UTC;0;974,2;974,6;974;2384,5;29;21,1;31,6;29;21,6;19,6;63;51;63;338;7,8;2,5;
2024/01/02;1800 UTC;10,4;975;975,5;974;308,4;22,5;19,8;28,9;22,2;21,9;18,7;85;63;85;23;14,2;2,2;
2024/01/02;1900 UTC;3;974,3;975;974;143,9;23,2;20,3;23,2;22,5;20,5;19,8;85;84;84;159;3,7;0;
2024/01/02;2000 UTC;,6;974,8;974,8;974,3;231,4;23,9;20,8;24;23,2;20,9;20,3;84;82;83;265;2,6;,7;
2024/01/02;2100 UTC;,2;975,4;975,4;974,8;203,7;24,3;20,9;24,5;23,9;21,1;20,8;83;80;81;293;2,8;,4;
2024/01/02;2200 UTC;0;976,1;976,1;975,4;6;23,5;20,6;24,3;23,5;21;20,6;84;81;84;26;3,8;1;
2024/01/02;2300 UTC;;;;;;;;;;;;;;;;;;
2024/01/03;0000 UTC;;;;;;;;;;;;;;;;;;
2024/01/03;0100 UTC;,6;977,4;977,4;976,9;;23,3;20,5;23,4;23,3;20,7;20,4;85;84;84;81;2,5;0;
2024/01/03;0200 UTC;,8;977;977,4;977;;23,3;20,6;23,3;23,2;20,6;20,4;85;84;85;130;2;,7;
2024/01/03;0300 UTC;,4;976,4;977;976,4;;23,4;20,8;23,5;23,3;20,9;20,6;85;85;85;307;3;0;
2024/01/03;0400 UTC;0;976,2;976,4;976,2;;23,4;20,8;23,4;23,3;20,8;20,6;85;85;85;338;1,3;,1;
2024/01/03;0500 UTC;;;;;;;;;;;;;;;;;;
2024/01/03;0600 UTC;;;;;;;;;;;;;;;;;;
2024/01/03;0700 UTC;;;;;;;;;;;;;;;;;;
2024/01/03;0800 UTC;;;;;;;;;;;;;;;;;;
2024/01/03;0900 UTC;0;977,1;977,1;976,4;53,1;23,7;21,1;23,7;23,4;21,1;20,8;86;85;85;175;0;0;
2024/01/03;1000 UTC;0;977,8;977,8;977,1;443;24,4;21,1;24,6;23,7;21,5;21;85;81;82;23;2;,5;
2024/01/03;1100 UTC;0;978,3;978,3;977,8;488,8;24,6;20,9;24,6;24,4;21,3;20,8;83;80;80;31;3,7;1,6;
2024/01/03;1200 UTC;0;978,6;978,6;978,3;1025,7;25,7;20,8;25,7;24,6;21,5;19,9;81;72;74;48;4;1,5;
2024/01/03;1300 UTC;0;978,7;978,7;978,6;2380;27,1;19,3;28;25,7;21,6;19,3;75;62;62;73;6,6;2,9;
2024/01/03;1400 UTC;0;978,1;978,8;978,1;2371,2;27,7;19,2;28,6;26,9;20,9;18,5;65;58;60;31;5,8;2,9;
2024/01/03;1500 UTC;0;977,3;978,1;977,3;3604,9;29,7;20;30;27,5;21,5;18,9;63;54;56;62;6,1;2,3;
2024/01/03;1600 UTC;0;975,8;977,3;975,8;3612,2;30,9;19,2;31,3;29,7;21,4;19,2;59;50;50;30;6,4;2,1;
2024/01/03;1700 UTC;0;975,2;975,8;975,2;1698,4;30;20;31,6;29,7;21;18,9;58;49;55;332;6,3;1;
2024/01/03;1800 UTC;0;975,1;975,2;975;259,5;24,9;20,1;30;24,9;21,9;19,6;75;54;75;243;7,8;2,9;
2024/01/03;1900 UTC;,2;975,3;975,5;975,1;168,2;24,2;20,8;24,9;23,9;20,8;20,2;82;75;81;164;6,6;1,2;
2024/01/03;2000 UTC;0;975;975,4;975;735,1;25,3;20,7;25,8;24,2;21,8;20,6;81;75;76;164;3,7;1,2;
2024/01/03;2100 UTC;0;975,3;975,3;975;188;24,8;20,8;25,3;24,8;20,9;20,4;78;75;78;182;2,6;,3;
2024/01/03;2200 UTC;;;;;;;;;;;;;;;;;;
2024/01/03;2300 UTC;;;;;;;;;;;;;;;;;;
2024/01/04;0000 UTC;;;;;;;;;;;;;;;;;;
2024/01/04;0100 UTC;;;;;;;;;;;;;;;;;;
2024/01/04;0200 UTC;;;;;;;;;;;;;;;;;;
