REGIAO:;S
UF:;RS
ESTACAO:;IBIRUBA
CODIGO (WMO):;A883
LATITUDE:;-28,65333333
LONGITUDE:;-53,11194444
ALTITUDE:;455,27
DATA DE FUNDACAO:;13/12/12
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;962,3;962,3;961,5;;20,5;16,7;21,9;20,5;17,5;16,7;79;76;79;128;6;2,4;
2024/01/01;0100 UTC;0;962,9;962,9;962,3;;19,2;16,3;20,5;19,2;16,7;16,1;83;78;83;99;6,4;3,2;
2024/01/01;0200 UTC;0;962;963;962;;18,9;15,9;19,2;18,8;16,4;15,9;85;82;83;83;8,6;5,1;
2024/01/01;0300 UTC;0;961,4;962;961,1;;18,7;15,8;18,9;18,6;15,9;15,5;84;82;83;78;10,8;3,8;
2024/01/01;0400 UTC;0;961,7;961,8;960,6;;18,3;15,7;18,8;18,2;15,9;15,7;86;83;85;96;7,9;3,6;
2024/01/01;0500 UTC;0;961,7;962;961,7;;17,2;15,4;18,3;17,1;15,7;15,4;90;85;89;157;6,4;2,1;
2024/01/01;0600 UTC;0;961,1;961,7;961,1;;16,7;15,2;17,2;16,4;15,3;14,9;92;89;91;144;4,4;1;
2024/01/01;0700 UTC;0;960,7;961,1;960,7;;16,3;15,1;16,9;16,3;15,3;15;93;90;93;95;5,8;3,1;
2024/01/01;0800 UTC;0;961,3;961,3;960,7;;16,1;15;16,3;16;15,3;15;95;93;94;128;4,9;1,2;
2024/01/01;0900 UTC;0;961,1;961,3;961;12,8;15,7;15,2;16,1;15,5;15,2;14,9;97;94;97;85;4,4;3,2;
2024/01/01;1000 UTC;0;961,4;961,6;961,1;387,8;18,7;16,9;18,7;15,7;16,9;15,2;97;89;89;74;4,4;2,4;
2024/01/01;1100 UTC;0;961,7;961,7;961,4;1245,9;21,8;17,9;21,8;18,7;18,2;16,9;89;79;79;61;6,3;3;
2024/01/01;1200 UTC;0;962,1;962,1;961,7;2018,2;24,4;19,3;24,5;21,4;19,3;17,5;80;70;73;73;6,2;2,2;
2024/01/01;1300 UTC;0;961,7;962,1;961,7;2706,3;26,9;20;27,1;24,1;20,7;18,2;73;65;66;29;5,3;2,1;
2024/01/01;1400 UTC;0;961,4;961,7;961,3;3178,9;27,4;19,1;28,3;26;20,8;18,7;69;58;61;6;5,5;1,6;
2024/01/01;1500 UTC;0;960,8;961,4;960,8;3508,4;28,5;19,7;28,5;27,2;20,5;18,3;64;56;59;267;5,3;1,2;
2024/01/01;1600 UTC;0;960,1;960,8;960,1;3045,3;29,1;18,4;29,9;28,1;21;17,5;61;50;53;306;3,8;1,3;
2024/01/01;1700 UTC;0;959,6;960,1;959,5;2403,9;29,9;18,9;31,1;28,3;20,5;17,4;56;48;52;161;3,1;1;
2024/01/01;1800 UTC;0;959,1;959,6;958,9;3004,2;29,8;18,3;30,9;29,3;19,4;17;54;45;50;189;5,7;,9;
2024/01/01;1900 UTC;0;958,5;959,3;958,5;2385;30,2;18,9;30,5;29;20,5;18;58;48;51;171;5,6;1,5;
2024/01/01;2000 UTC;0;957,9;958,5;957,9;2149,1;29,8;18,8;30,7;29,4;19,9;18,4;55;49;52;176;4,9;1,6;
2024/01/01;2100 UTC;0;957,8;958,1;957,8;1199,4;28,3;19,5;30;27,9;20;18,4;59;52;59;197;6,1;1,5;
2024/01/01;2200 UTC;0;957,6;957,9;957,6;551,4;27,7;18,6;29;27,7;20;18,2;59;53;58;168;3,4;1,5;
2024/01/01;2300 UTC;0;958,3;958,3;957,6;29,5;25,7;19,2;27,7;25,6;19,2;18,2;68;57;68;155;7,5;2,6;
2024/01/02;0000 UTC;0;958,9;958,9;958,3;;24,1;19,5;25,7;24,1;19,5;19,3;75;68;75;107;7,6;2,9;
2024/01/02;0100 UTC;0;959,6;959,6;958,9;;23,1;19,8;24,1;23,1;19,8;19,5;82;75;82;96;6,2;3,1;
2024/01/02;0200 UTC;0;959,6;959,8;959,6;;22,7;19,7;23,1;22,7;19,8;19,7;83;82;83;92;5,4;3,6;
2024/01/02;0300 UTC;0;959,3;959,7;959,3;;22,5;19,7;22,8;22,5;19,7;19,6;84;83;84;104;7,5;3,5;
2024/01/02;0400 UTC;0;959;959,3;958,9;;22,1;19,9;22,5;22,1;19,9;19,7;87;84;87;96;7,1;3,6;
2024/01/02;0500 UTC;0;958,2;959;958,2;;21,8;20;22,1;21,8;20,1;19,9;90;87;90;94;6,1;3;
2024/01/02;0600 UTC;0;957,8;958,2;957,8;;21,6;20,1;21,9;21,6;20,1;20;91;90;91;102;4,6;2,6;
2024/01/02;0700 UTC;0;957,6;957,8;957,5;;21,4;20,1;21,6;21;20,2;19,9;94;91;92;99;4,4;2,7;
2024/01/02;0800 UTC;0;957,9;957,9;957,4;;21,3;20;21,4;20,8;20,1;19,9;95;92;93;99;4,7;3;
2024/01/02;0900 UTC;5,2;958,8;958,8;957,9;,5;20,6;20;21,6;20,5;20,1;19,6;96;91;96;24;4,9;1,8;
