REGIAO:;S
UF:;RS
ESTACAO:;TUPANCIRETA
CODIGO (WMO):;A886
LATITUDE:;-29,08944444
LONGITUDE:;-53,82666666
ALTITUDE:;462
DATA DE FUNDACAO:;11/08/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;962,1;962,1;961,4;;19,9;15,7;20,7;19,8;16,5;15,5;77;76;77;121;5,8;1,6;
2024/01/01;0100 UTC;0;960,1;962,2;960;;19,8;16,2;20,4;19,8;16,2;15,7;79;75;79;60;8,2;3,4;
2024/01/01;0200 UTC;0;961,5;961,5;960,1;;19,1;15,4;19,8;19,1;16,2;15,4;80;78;79;72;8;2,7;
2024/01/01;0300 UTC;0;962;962;961,2;;18,1;15,2;19,1;18,1;15,5;15,2;83;79;83;76;8,4;2,8;
2024/01/01;0400 UTC;0;961,7;962,1;961,7;;17,8;14,7;18,1;17,8;15,2;14,7;83;82;82;62;6,6;2,4;
2024/01/01;0500 UTC;0;961,4;961,8;961,4;;17,3;14,5;17,8;17,3;14,8;14,5;84;82;83;58;6,4;1,7;
2024/01/01;0600 UTC;0;960,6;961,4;960,5;;17;14,2;17,4;16,9;14,6;14,2;85;83;84;60;6,7;2,9;
2024/01/01;0700 UTC;0;960,2;960,7;960,2;;16,7;14;17;16,7;14,2;14;85;83;85;55;7,8;2,8;
2024/01/01;0800 UTC;0;960,4;960,4;960,2;;16,6;14;16,7;16,5;14,1;13,9;85;84;85;41;7,8;2,1;
2024/01/01;0900 UTC;0;961;961;960,4;8,6;16,2;14;16,6;16,2;14,1;13,9;87;85;87;61;4,9;2,1;
