REGIAO:;S
UF:;SC
ESTACAO:;URUSSANGA
CODIGO (WMO):;A814
LATITUDE:;-28,53249999
LONGITUDE:;-49,31527777
ALTITUDE:;40,56
DATA DE FUNDACAO:;29/05/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;1013,3;1013,4;1012,3;;19,3;17,3;20,9;19,3;17,3;16,1;88;75;88;231;1,7;,5;
2024/01/01;0100 UTC;,2;1013,8;1013,8;1013,3;;19,1;17,6;19,3;19;17,6;17,3;91;88;91;227;1,4;,6;
2024/01/01;0200 UTC;0;1013,9;1014;1013,8;;19,1;17,8;19,2;19;17,8;17,6;92;91;92;215;1,4;,6;
2024/01/01;0300 UTC;0;1013,5;1013,9;1013,5;;19,1;17,8;19,2;19,1;17,9;17,7;92;92;92;121;1,2;,3;
2024/01/01;0400 UTC;0;1012,8;1013,5;1012,8;;19,2;17,9;19,2;19,1;18;17,8;92;92;92;213;1,5;,8;
2024/01/01;0500 UTC;0;1012,1;1012,8;1012,1;;19;17,7;19,3;19;18;17,7;92;92;92;165;1,4;,8;
2024/01/01;0600 UTC;0;1011,2;1012,1;1011,1;;19,1;17,9;19,1;18,8;17,9;17,6;93;92;93;121;1,2;,5;
2024/01/01;0700 UTC;0;1011,2;1011,3;1011,1;;19,2;18;19,2;19,1;18;17,9;93;93;93;44;1,6;,6;
2024/01/01;0800 UTC;0;1011,2;1011,5;1011,1;;18,6;17,5;19,2;18,6;18;17,5;93;93;93;95;1,9;1,1;
2024/01/01;0900 UTC;0;1011,6;1011,6;1011,2;30,3;18,9;17,8;19;18,6;17,9;17,5;93;93;93;119;1,9;,5;
2024/01/01;1000 UTC;0;1012;1012;1011,6;300,4;19,8;18,2;19,9;18,9;18,6;17,8;93;90;90;186;1,8;,8;
2024/01/01;1100 UTC;0;1011,8;1012;1011,8;1406,7;22,6;17,4;23,1;19,7;18,9;17,4;90;72;72;8;1,8;,6;
2024/01/01;1200 UTC;,2;1011,6;1011,9;1011,5;2043,5;23,3;17,6;23,8;22,6;18,1;16,7;74;68;70;252;2,8;,8;
2024/01/01;1300 UTC;0;1011,4;1011,6;1011,3;1481,6;24,5;17,7;24,5;23,3;18,3;17,2;71;66;66;186;2,7;1,2;
2024/01/01;1400 UTC;0;1010,7;1011,4;1010,7;3278,6;27,2;18,1;27,5;24,5;18,7;16,5;67;54;58;74;3,4;1,5;
2024/01/01;1500 UTC;0;1010,1;1010,7;1010,1;2271,5;27,7;17,4;27,8;26;18,2;16,6;59;53;54;144;3,7;1,2;
2024/01/01;1600 UTC;0;1009;1010,1;1009;3348,2;28,9;16,7;29,4;27,6;18;16,7;54;48;48;173;3,6;1,2;
2024/01/01;1700 UTC;0;1007,9;1009;1007,9;2893,5;29,9;17,7;30,4;27,9;18,5;16,9;53;47;48;61;4,7;1,8;
2024/01/01;1800 UTC;0;1007,3;1007,9;1007,2;2115,5;29,3;18,1;29,9;28,8;18,6;17,3;53;47;51;48;4,8;1,4;
2024/01/01;1900 UTC;0;1006,4;1007,3;1006,4;1788,3;28,8;18,4;30,4;28,8;19,2;17,5;54;48;53;119;4,8;2,2;
2024/01/01;2000 UTC;0;1006,3;1006,4;1006,2;974,6;28;18,7;29,9;28;19,4;18,3;57;52;57;59;5,4;2,7;
2024/01/01;2100 UTC;0;1006,4;1006,4;1006,1;447,7;27,2;19,2;28;26,6;19,8;18,6;64;57;62;148;4,7;1;
2024/01/01;2200 UTC;0;1006,9;1006,9;1006,4;130;24,9;19,8;27,2;24,9;19,8;18,8;73;62;73;342;3,9;1,8;
2024/01/01;2300 UTC;0;1007,7;1007,7;1006,9;;24;21;24,9;23,9;21;19,9;83;73;83;354;3,9;,3;
2024/01/02;0000 UTC;0;1008,4;1008,5;1007,7;;23,8;20,3;24;23,6;21;20,3;84;81;81;342;3,2;1;
2024/01/02;0100 UTC;0;1008,7;1008,9;1008,3;;23;20;23,9;23;20,3;19,7;84;78;84;353;2,4;1;
2024/01/02;0200 UTC;0;1009;1009;1008,7;;22,1;19,9;23;22,1;20,1;19,7;87;84;87;327;2;,7;
2024/01/02;0300 UTC;0;1008,7;1009,2;1008,7;;21,4;19,6;22,2;21,4;19,9;19,6;90;87;90;208;1,3;,2;
2024/01/02;0400 UTC;0;1008,3;1008,8;1008,3;;20,9;19,4;21,4;20,9;19,7;19,4;91;90;91;215;1,1;,4;
