REGIAO:;S
UF:;SC
ESTACAO:;SAO MIGUEL DO OESTE
CODIGO (WMO):;A857
LATITUDE:;-26,78638888
LONGITUDE:;-53,51416666
ALTITUDE:;647
DATA DE FUNDACAO:;12/03/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;939,5;939,5;939;;23,6;17,2;24,2;23,5;17,6;17,1;68;66;67;139;3,8;2,5;
2024/01/01;0100 UTC;0;940,4;940,4;939,5;;23,2;17,7;23,7;23,2;17,8;17,2;72;67;72;143;4,4;2,3;
2024/01/01;0200 UTC;0;940,6;940,6;940,4;;22,9;17,7;23,3;22,8;17,8;17,6;73;71;73;132;4,3;2,2;
2024/01/01;0300 UTC;0;940,4;940,6;940,3;;22,4;17,7;23,1;22,4;17,7;17,6;75;72;75;127;3,9;2,4;
2024/01/01;0400 UTC;0;939,6;940,4;939,5;;22;17,5;22,4;21,7;17,8;17,4;78;75;76;86;4,6;2,6;
2024/01/01;0500 UTC;0;939,1;939,7;939,1;;21,8;17,5;22,2;21,6;17,5;17,3;77;74;76;84;4,6;2,7;
2024/01/01;0600 UTC;0;938,1;939,1;938,1;;21;17,7;21,8;21;17,8;17,5;81;76;81;75;5;3,2;
2024/01/01;0700 UTC;0;937,7;938,1;937,7;;21,2;17,4;21,5;20,8;17,8;17,4;83;77;79;60;7,2;4,2;
2024/01/01;0800 UTC;0;938,3;938,3;937,7;;21,3;17,2;21,6;20,9;17,5;17,1;81;76;77;52;6,8;3,9;
2024/01/01;0900 UTC;0;938,8;938,9;938,3;;20,9;17,3;21,3;20,6;17,3;17,2;81;78;80;56;6,5;4,6;
2024/01/01;1000 UTC;0;939,5;939,5;938,8;;22,3;18;22,3;20,9;18;17,3;80;76;76;66;7,1;3,5;
2024/01/01;1100 UTC;0;939,9;939,9;939,5;;23,7;18,6;23,9;22,3;19;17,7;76;72;73;58;6,4;3,8;
2024/01/01;1200 UTC;0;940,3;940,4;939,9;;25,2;19,2;25,2;23,7;19,4;18,3;74;67;69;52;7,8;4,1;
2024/01/01;1300 UTC;0;940,5;940,5;940,3;;26,7;19,9;26,8;25,2;20,7;18,7;71;64;66;67;6,6;1,7;
2024/01/01;1400 UTC;0;940,4;940,6;940,3;;28,2;20,4;28,6;26,7;21,2;18,7;68;59;63;64;4,6;1,6;
2024/01/01;1500 UTC;0;939,9;940,4;939,9;;28,6;19,8;29,3;28;21,3;18,8;66;55;59;360;4,2;1,4;
2024/01/01;1600 UTC;0;939;939,9;939;;29,7;18,1;30,1;28,4;21;17;62;46;50;28;4,4;,6;
2024/01/01;1700 UTC;0;938,8;939;938,7;;30,9;17,8;31;28,9;20,5;16,7;61;43;46;317;5,1;2,4;
2024/01/01;1800 UTC;0;938,1;938,8;938,1;;31,3;16,7;32,1;30,8;19,8;15,4;51;39;42;355;5,1;1;
2024/01/01;1900 UTC;0;937,1;938,1;937,1;;28,3;18,5;32,1;28,1;21;17,1;59;41;55;71;4,5;1,3;
2024/01/01;2000 UTC;0;936,5;937,1;936,5;;28,8;18,2;30,5;28;19,8;17,6;59;49;53;174;4,9;1,4;
2024/01/01;2100 UTC;0;936,1;936,5;936,1;;30,3;19;30,4;28,1;20,2;18,2;57;49;51;168;3,4;,8;
2024/01/01;2200 UTC;0;936,6;936,6;936;;28,3;18,6;30,4;28,3;19,4;17,9;56;49;56;152;3,1;,4;
2024/01/01;2300 UTC;0;937,2;937,2;936,6;;27;18,6;28,3;26,9;18,8;18,4;60;55;60;153;2,1;1,3;
2024/01/02;0000 UTC;0;937,6;937,6;937,2;;26,8;17,7;27;26,2;18,6;17,7;60;57;57;143;3,1;1,9;
