REGIAO:;S
UF:;SC
ESTACAO:;Laguna  - Farol de Santa Marta
CODIGO (WMO):;A866
LATITUDE:;-28,60444444
LONGITUDE:;-48,81333333
ALTITUDE:;34,36
DATA DE FUNDACAO:;01/06/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;1011,8;1011,9;1011,2;0;22,4;17,3;22,8;22,2;17,8;16,6;74;70;73;83;8,4;4,3;
2024/01/01;0100 UTC;0;1012,3;1012,3;1011,8;0;22,4;17,3;22,5;22,3;17,8;16,9;75;71;73;44;7;5,3;
2024/01/01;0200 UTC;0;1012,6;1012,7;1012,3;322,6;21,8;18,1;22,6;21,8;18,4;17,2;80;72;80;10;7,6;5;
2024/01/01;0300 UTC;0;1012,3;1012,6;1012,3;0;21,4;18,5;21,9;21,3;18,7;18,1;84;80;84;3;6,9;4,4;
2024/01/01;0400 UTC;0;1011,7;1012,3;1011,7;0;21,2;18,8;21,4;21,2;18,9;18,4;86;84;86;358;6,7;3,6;
2024/01/01;0500 UTC;0;1011;1011,7;1011;0;21,1;18,5;21,3;21,1;18,9;18,5;86;85;85;355;5;2,7;
2024/01/01;0600 UTC;0;1010,5;1011,1;1010,5;0;21,3;18,8;21,4;21,1;18,8;18,5;86;85;86;336;3,6;1,7;
2024/01/01;0700 UTC;0;1010,2;1010,5;1010,1;0;21,2;19,2;21,5;21,2;19,3;18,7;89;86;89;13;3;1,5;
2024/01/01;0800 UTC;0;1010,4;1010,5;1010,2;0;21,2;19,4;21,4;21;19,8;19,2;91;89;90;26;5,2;4,4;
2024/01/01;0900 UTC;0;1010,5;1010,5;1010,2;0;21,4;19,3;21,5;21,1;19,6;19,1;90;88;88;33;5,7;3,3;
2024/01/01;1000 UTC;0;1010,8;1010,9;1010,4;0;21,7;19,8;21,8;21,4;19,9;19,3;89;88;89;15;4,6;3,5;
