DATA (YYYY-MM-DD);PRECIPITAÇÃO TOTAL, HORÁRIO (mm);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C)
01/01/13;0;25
01/01/13;0;24,6
01/01/13;0;24
01/01/13;0;23,2
01/01/13;0;22,8
01/01/13;0;22,4
01/01/13;0;21,7
01/01/13;0;21,5
01/01/13;0;21,2
01/01/13;0;21,1
01/01/13;0;21,9
01/01/13;0;24,1
01/01/13;0;27,5
01/01/13;0;29,8
01/01/13;0;31
01/01/13;0;32,1
01/01/13;0;32,7
01/01/13;1,4;31
01/01/13;12;22,9
01/01/13;0,2;21,8
01/01/13;0;21,8
01/01/13;0;22,2
01/01/13;0,8;21,8
01/01/13;0,4;21,3
02/01/13;0;21,2
02/01/13;0;21,1
02/01/13;0;21
02/01/13;0,2;20,9
02/01/13;0;20,9
02/01/13;0;20,7
02/01/13;0;20,5
02/01/13;0;20,4
02/01/13;0;20,4
02/01/13;0;20,3
02/01/13;0;20,9
02/01/13;0;22,3
02/01/13;0;23,2
02/01/13;0;24,5
02/01/13;0;25,8
02/01/13;0;26,3
02/01/13;0;26,6
02/01/13;0;27,6
02/01/13;0;27,7
02/01/13;0;27,7
02/01/13;0;28,6
02/01/13;0;28,2
02/01/13;0;26
02/01/13;0;24,2
03/01/13;0;23
03/01/13;0;22,1
03/01/13;0;21,3
03/01/13;0;20,4
03/01/13;0;20
03/01/13;0;19,4
03/01/13;0;19
03/01/13;0;18,7
03/01/13;0;18,8
03/01/13;0;19
03/01/13;0;19,6
03/01/13;0;20,4
03/01/13;0;21
03/01/13;0;21,8
03/01/13;0;22,3
03/01/13;0;23,7
03/01/13;0;24,7
03/01/13;0;26,5
03/01/13;0;28,6
03/01/13;0;28,7
03/01/13;0;28,7
03/01/13;0;27,3
03/01/13;0;25,5
03/01/13;0;24
04/01/13;0;22,8
04/01/13;0;22,6
04/01/13;0;21,6
04/01/13;0;21
04/01/13;0;20,5
04/01/13;0;19,9
04/01/13;0;19,6
04/01/13;0;19,4
04/01/13;0;19,3
