"DATA (YYYY-MM-DD)","PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C)"
"01/01/11","0","25,3"
"01/01/11","0","24,1"
"01/01/11","0","23,1"
"01/01/11","0","22,4"
"01/01/11","0","21,7"
"01/01/11","0","21"
"01/01/11","0","20,4"
"01/01/11","0","19,7"
"01/01/11","0","19"
"01/01/11","0","18,5"
"01/01/11","0","19,5"
"01/01/11","0","22,6"
"01/01/11","0","25"
"01/01/11","0","26,4"
"01/01/11","0","26,5"
"01/01/11","0","28,6"
"01/01/11","0","28,8"
"01/01/11","0","28,8"
"01/01/11","0","28,6"
"01/01/11","0","28,8"
"01/01/11","0","28,6"
"01/01/11","0","28,7"
"01/01/11","0","27,2"
"01/01/11","0","25,5"
"02/01/11","0","24,8"
"02/01/11","0","23,2"
"02/01/11","0","22,5"
"02/01/11","0","22"
"02/01/11","0","21,5"
"02/01/11","0","21,3"
"02/01/11","0","20,8"
"02/01/11","0","20,7"
"02/01/11","0","20,6"
"02/01/11","0","20,6"
"02/01/11","0","20,9"
"02/01/11","0","21,5"
"02/01/11","0","22,2"
"02/01/11","0","23,8"
"02/01/11","0","26"
"02/01/11","0","26,4"
"02/01/11","0","26,6"
"02/01/11","0","28,8"
"02/01/11","0,8","27,3"
"02/01/11","0","29,5"
"02/01/11","0","29,1"
"02/01/11","0,8","24,8"
"02/01/11","3,6","20,8"
"02/01/11","6,6","20,4"
"03/01/11","9,8","20,1"
"03/01/11","6,8","19,9"
"03/01/11","2,2","20,2"
"03/01/11","3,8","20,2"
"03/01/11","4,2","20"
"03/01/11","0,8","19,7"
"03/01/11","0","19,9"
"03/01/11","0","20"
"03/01/11","0","19,6"
"03/01/11","0,2","19,5"
"03/01/11","0","19,4"
"03/01/11","2","19,7"
"03/01/11","2","20,5"
"03/01/11","1,2","21,3"
"03/01/11","1","21,5"
"03/01/11","0,8","22,6"
"03/01/11","0,2","24,2"
"03/01/11","4","24,5"
"03/01/11","0,6","24,5"
"03/01/11","5,4","25,2"
"03/01/11","1,8","22,5"
"03/01/11","0","22,6"
"03/01/11","0","22,4"
"03/01/11","0","22"
"04/01/11","0","21,9"
"04/01/11","0","21,8"
"04/01/11","0","21,3"
"04/01/11","0","21,4"
"04/01/11","0","21,3"
"04/01/11","0","21,3"
"04/01/11","0","21,3"
"04/01/11","0","21,3"
"04/01/11","0,2","21,3"
"04/01/11","0","21,3"
"04/01/11","0","21,3"
"04/01/11","0","22"
"04/01/11","0","23,4"
"04/01/11","0","24,2"
"04/01/11","0","26"
"04/01/11","0","27,3"
"04/01/11","0","28,8"
"04/01/11","0","30,7"
"04/01/11","0","30,5"
"04/01/11","0","30,7"
"04/01/11","0","30,7"
"04/01/11","4,8","29,9"
"04/01/11","3,4","23,2"
"04/01/11","0","21,8"
"05/01/11","0","22,4"
"05/01/11","1,4","21,7"
"05/01/11","0,2","21,2"
"05/01/11","0","20,9"
"05/01/11","0","20,9"
"05/01/11","0","20,9"
"05/01/11","0","20,7"
"05/01/11","0","20,6"
"05/01/11","0","20,7"
"05/01/11","0","20,7"
"05/01/11","0","21"
"05/01/11","0","22,4"
"05/01/11","0","23,5"
"05/01/11","0","25,6"
"05/01/11","0","26,8"
"05/01/11","0","28,2"
"05/01/11","0","29,6"
"05/01/11","1","29,3"
"05/01/11","0","27,7"
"05/01/11","0","29,4"
"05/01/11","0","29,6"
"05/01/11","0","29,1"
"05/01/11","0","28,2"
"05/01/11","0","24,8"
"06/01/11","0","24"
"06/01/11","3","22,9"
"06/01/11","2,6","22"
"06/01/11","0","21,8"
"06/01/11","4,4","21,2"
"06/01/11","5,8","20,5"
"06/01/11","1,4","20,2"
"06/01/11","0,2","19,8"
"06/01/11","0","19,8"
"06/01/11","0","19,8"
"06/01/11","0","20,1"
"06/01/11","0","21,5"
"06/01/11","0","23,8"
"06/01/11","0","25,6"
"06/01/11","0","27,2"
"06/01/11","0","29"
"06/01/11","0","30"
"06/01/11","0","30,4"
"06/01/11","0","31,2"
"06/01/11","0","31,5"
"06/01/11","1,8","30,6"
"06/01/11","0","24,4"
"06/01/11","0","22,9"
"06/01/11","0","22,1"
"07/01/11","0","21,5"
"07/01/11","0","21,1"
"07/01/11","0","20,9"
"07/01/11","0","21,1"
"07/01/11","0","21,4"
"07/01/11","0","21,6"
"07/01/11","0","21,3"
"07/01/11","0","21,1"
"07/01/11","0","21,1"
"07/01/11","0","21"
"07/01/11","0","21,6"
"07/01/11","0","22,6"
"07/01/11","0","23,4"
"07/01/11","0","24,2"
"07/01/11","0","27,9"
"07/01/11","0","28,7"
"07/01/11","0","29,3"
"07/01/11","0","29,3"
"07/01/11","0","30,6"
"07/01/11","0","30,1"
"07/01/11","4,4","28,4"
"07/01/11","0","23,3"
"07/01/11","9","23,1"
"07/01/11","7,2","21,4"
"08/01/11","5,6","21,1"
"08/01/11","2,8","20,4"
"08/01/11","2,4","20,3"
"08/01/11","1,4","20,2"
"08/01/11","1","20,8"
"08/01/11","0,8","20,8"
"08/01/11","0,4","20,7"
"08/01/11","0","20,7"
"08/01/11","0","20,7"
"08/01/11","0,2","20,6"
"08/01/11","0","21,5"
"08/01/11","0","21,9"
"08/01/11","0","23"
"08/01/11","0","25,3"
"08/01/11","0","27,2"
"08/01/11","0","27,5"
"08/01/11","0","28,3"
"08/01/11","0","28"
"08/01/11","0","28,3"
"08/01/11","0","28,4"
"08/01/11","7,4","27,4"
"08/01/11","25,4","22,4"
"08/01/11","0","20,7"
"08/01/11","0","21,1"
"09/01/11","0","21,6"
"09/01/11","0","21,6"
"09/01/11","0","21,4"
"09/01/11","0","21,2"
"09/01/11","0","21"
"09/01/11","0","20,8"
"09/01/11","0","20,7"
"09/01/11","0","20,8"
"09/01/11","0","20,6"
"09/01/11","0","20,6"
"09/01/11","0","20,8"
"09/01/11","0","21,8"
"09/01/11","0","23,6"
"09/01/11","0","24,6"
"09/01/11","0","26,1"
"09/01/11","0","28,2"
"09/01/11","0","29,1"
"09/01/11","0","29,1"
"09/01/11","0","29,1"
"09/01/11","0","30,1"
"09/01/11","0","30,1"
"09/01/11","0","29,4"
"09/01/11","0","26,4"
"09/01/11","0","24,6"
"10/01/11","0","24"
"10/01/11","0","23,4"
"10/01/11","0","22,5"
"10/01/11","0","22,2"
"10/01/11","0","22"
"10/01/11","0","21,5"
"10/01/11","0","21,5"
"10/01/11","0","21,3"
"10/01/11","0","21,2"
"10/01/11","0","20,8"
"10/01/11","0","21,4"
"10/01/11","0","23,7"
"10/01/11","0","26"
"10/01/11","0","26,1"
"10/01/11","1,2","26,2"
"10/01/11","0,4","27,8"
"10/01/11","0","29,4"
"10/01/11","0","29,6"
"10/01/11","0","30,6"
"10/01/11","0","30,2"
"10/01/11","0","29,4"
"10/01/11","0","29"
"10/01/11","3,8","28,1"
"10/01/11","0","24,6"
"11/01/11","0","24,4"
"11/01/11","1,4","23,9"
"11/01/11","2","23,1"
"11/01/11","0,2","22,9"
"11/01/11","0","22,9"
"11/01/11","5,2","22"
"11/01/11","4","20,5"
"11/01/11","3,8","20,2"
"11/01/11","0","20"
"11/01/11","0","19,9"
"11/01/11","0,4","19,9"
"11/01/11","0,2","20,1"
"11/01/11","0,6","20,8"
"11/01/11","0,2","21,7"
"11/01/11","0","26,4"
"11/01/11","0","27,7"
"11/01/11","0","28,7"
"11/01/11","0","28,8"
"11/01/11","0","29,9"
"11/01/11","0","30,5"
"11/01/11","0","30,3"
"11/01/11","0","28,2"
"11/01/11","9,6","25,8"
"11/01/11","2,4","23,1"
"12/01/11","8","21,4"
"12/01/11","0","20,8"
"12/01/11","0","21,4"
"12/01/11","7,6","21,6"
"12/01/11","14,6","21"
"12/01/11","4","20,3"
"12/01/11","0","19,9"
"12/01/11","0","20"
"12/01/11","0","20,5"
"12/01/11","0","21,4"
"12/01/11","0","22,1"
"12/01/11","0","22,8"
"12/01/11","0","24"
"12/01/11","0","24,3"
"12/01/11","0","24,1"
"12/01/11","0,2","25,4"
"12/01/11","0,4","26,4"
"12/01/11","0","27,9"
"12/01/11","0","28,3"
"12/01/11","0","27,6"
"12/01/11","0,2","27,2"
"12/01/11","0","26,3"
"12/01/11","0","25,4"
"12/01/11","0","23,9"
"13/01/11","7,8","23,8"
"13/01/11","0","20,7"
"13/01/11","0,2","21"
"13/01/11","0","21"
