"month_year","casos"
"01-2010",38
"01-2011",272
"01-2012",65
"01-2013",527
"01-2014",30
"01-2015",208
"01-2016",332
"01-2017",95
"01-2018",62
"02-2010",148
"02-2011",840
"02-2012",38
"02-2013",1476
"02-2014",97
"02-2015",1569
"02-2016",489
"02-2017",107
"02-2018",34
"03-2010",317
"03-2011",1676
"03-2012",41
"03-2013",3381
"03-2014",173
"03-2015",3960
"03-2016",544
"03-2017",61
"03-2018",36
"04-2010",263
"04-2011",1961
"04-2012",41
"04-2013",2382
"04-2014",233
"04-2015",2437
"04-2016",617
"04-2017",55
"04-2018",29
"05-2010",183
"05-2011",1406
"05-2012",27
"05-2013",1226
"05-2014",180
"05-2015",1400
"05-2016",225
"05-2017",18
"05-2018",14
"06-2010",34
"06-2011",173
"06-2012",29
"06-2013",324
"06-2014",149
"06-2015",761
"06-2016",27
"06-2017",9
"06-2018",25
"07-2010",29
"07-2011",63
"07-2012",13
"07-2013",54
"07-2014",37
"07-2015",202
"07-2016",20
"07-2017",24
"07-2018",21
"08-2010",39
"08-2011",58
"08-2012",16
"08-2013",22
"08-2014",39
"08-2015",33
"08-2016",18
"08-2017",21
"08-2018",13
"09-2010",38
"09-2011",53
"09-2012",16
"09-2013",22
"09-2014",32
"09-2015",27
"09-2016",16
"09-2017",39
"09-2018",21
"10-2010",24
"10-2011",70
"10-2012",6
"10-2013",16
"10-2014",35
"10-2015",23
"10-2016",44
"10-2017",51
"10-2018",36
"11-2010",42
"11-2011",49
"11-2012",17
"11-2013",16
"11-2014",50
"11-2015",81
"11-2016",53
"11-2017",57
"11-2018",61
"12-2010",39
"12-2011",39
"12-2012",56
"12-2013",25
"12-2014",23
"12-2015",84
"12-2016",72
"12-2017",106
"12-2018",146
