"month_year","precipitation","temperature","casos"
"01-2010",NA,NA,38
"01-2011",78,24.6237903225806,272
"01-2012",42,22.7088709677419,65
"01-2013",86,23.4622311827957,527
"01-2014",13,25.8440107671602,30
"01-2015",16,26.3048452220727,208
"01-2016",36,24.4798387096774,332
"01-2017",139,24.1189771197847,95
"01-2018",45,24.0620457604307,62
"02-2010",1,25.0402157164869,148
"02-2011",31,24.7590773809524,840
"02-2012",16,25.1511494252874,38
"02-2013",17,24.168005952381,1476
"02-2014",10,25.7497023809524,97
"02-2015",18,24.4876488095238,1569
"02-2016",41,25.0805475504323,489
"02-2017",23,25.6190476190476,107
"02-2018",12,23.7885245901639,34
"03-2010",25,24.2837618403248,317
"03-2011",17,22.6340136054422,1676
"03-2012",13,23.9764784946237,41
"03-2013",8,23.3319672131148,3381
"03-2014",24,24.0174966352625,173
"03-2015",12,23.3322580645161,3960
"03-2016",NA,NA,544
"03-2017",21,24.0958333333333,61
"03-2018",32,25.1840053763441,36
"04-2010",5,21.7820334261838,263
"04-2011",7,22.3445833333333,1961
"04-2012",38,22.6581944444444,41
"04-2013",20,21.4144444444444,2382
"04-2014",8,22.5579166666667,233
"04-2015",1,22.4830319888734,2437
"04-2016",8,24.5786111111111,617
"04-2017",47,22.1741666666667,55
"04-2018",3,22.8632823365786,29
"05-2010",15,18.8143817204301,183
"05-2011",1,18.7383064516129,1406
"05-2012",22,18.998252688172,27
"05-2013",25,19.9395161290323,1226
"05-2014",15,19.8520161290323,180
"05-2015",25,19.676747311828,1400
"05-2016",27,19.039247311828,225
"05-2017",34,20.4741239892183,18
"05-2018",1,20.7883064516129,14
"06-2010",11,18.0911111111111,34
"06-2011",0,17.10625,173
"06-2012",33,18.5191666666667,29
"06-2013",13,18.8151810584958,324
"06-2014",0,19.8002777777778,149
"06-2015",0,19.4920833333333,761
"06-2016",18,17.25375,27
"06-2017",1,18.6186111111111,9
"06-2018",2,20.4213888888889,25
"07-2010",31,19.8005540166205,29
"07-2011",0,19.7493279569892,63
"07-2012",2,18.7721774193548,13
"07-2013",0,18.1025862068966,54
"07-2014",6,18.4905913978495,37
"07-2015",21,19.0284946236559,202
"07-2016",3,19.1576043068641,20
"07-2017",0,18.1459677419355,24
"07-2018",0,22.3101419878296,21
"08-2010",0,19.9684353741497,39
"08-2011",7,20.8443548387097,58
"08-2012",0,20.8298245614035,16
"08-2013",NA,NA,22
"08-2014",1,21.392866756393,39
"08-2015",2,21.4530913978495,33
"08-2016",11,20.4387096774194,18
"08-2017",5,19.958064516129,21
"08-2018",7,21.3356643356643,13
"09-2010",25,22.198417266187,38
"09-2011",0,21.8351388888889,53
"09-2012",8,22.7175,16
"09-2013",4,20.3538235294118,22
"09-2014",54,22.6695833333333,32
"09-2015",32,23.4298611111111,27
"09-2016",8,20.9070931849791,16
"09-2017",6,24.1628650904033,39
"09-2018",20,22.0343402225755,21
"10-2010",3,22.5697826086957,24
"10-2011",27,22.6048387096774,70
"10-2012",6,24.9102150537634,6
"10-2013",21,22.465188172043,16
"10-2014",0,24.9773279352227,35
"10-2015",7,24.4926075268817,23
"10-2016",12,22.9662180349933,44
"10-2017",32,23.5262096774194,51
"10-2018",23,23.0889784946237,36
"11-2010",25,23.6898611111111,42
"11-2011",5,22.4679166666667,49
"11-2012",15,23.8780555555556,17
"11-2013",55,23.5601388888889,16
"11-2014",NA,NA,50
"11-2015",20,23.88875,81
"11-2016",15,23.6341666666667,53
"11-2017",37,23.1813888888889,57
"11-2018",27,23.6350486787204,61
"12-2010",47,24.1641129032258,39
"12-2011",54,24.210752688172,39
"12-2012",38,25.7380376344086,56
"12-2013",8,25.1379032258065,25
"12-2014",42,24.3607438016529,23
"12-2015",40,24.5523553162853,84
"12-2016",20,24.6629032258065,72
"12-2017",9,24.9028225806452,106
"12-2018",21,25.5290322580645,146
